countryname,countrycode,co2,gdp,anio
Afganistán                                                            ,AFG ,14306.6163000,156.5189394,1970
Angola                                                                ,AGO ,60648.6010800,,1970
Albania                                                               ,ALB ,6960.8682000,,1970
Andorra                                                               ,AND ,0.0000000,3238.5568500,1970
El mundo árabe                                                        ,ARB ,552362.0620000,262.8674185,1970
Emiratos Árabes Unidos                                                ,ARE ,32962.1894100,,1970
Argentina                                                             ,ARG ,221957.0230000,1322.5908040,1970
Armenia                                                               ,ARM ,6245.9877000,,1970
Samoa Americana                                                       ,ASM ,13.0733582,,1970
Antigua y Barbuda                                                     ,ATG ,0.0000000,,1970
Australia                                                             ,AUS ,319036.5990000,3299.8432070,1970
Austria                                                               ,AUT ,68415.1530000,2058.7690790,1970
Curacao                                                               ,CUW ,0.0000000,,1970
Azerbaiyán                                                            ,AZE ,26322.7798000,,1970
Burundi                                                               ,BDI ,2203.1094000,69.7693040,1970
Bélgica                                                               ,BEL ,159837.7360000,2765.8910050,1970
Benin                                                                 ,BEN ,35206.0600000,114.5565965,1970
Burkina Faso                                                          ,BFA ,7373.7537000,81.4998987,1970
Bangladesh                                                            ,BGD ,112709.2960000,140.0027140,1970
Bulgaria                                                              ,BGR ,88037.7060000,,1970
Bahrein                                                               ,BHR ,3808.8192960,,1970
Bahamas                                                               ,BHS ,3564.4186000,3178.8445520,1970
Bosnia y Herzegovina                                                  ,BIH ,23292.6857000,,1970
Belarús                                                               ,BLR ,137111.8790000,,1970
Belice                                                                ,BLZ ,312.9806700,435.6904694,1970
Bermudas                                                              ,BMU ,349.3901820,3387.2727270,1970
Bolivia                                                               ,BOL ,172962.2850000,226.8069714,1970
Brasil                                                                ,BRA ,1260982.1460000,445.0231006,1970
Barbados                                                              ,BRB ,709.7922800,,1970
Brunei Darussalam                                                     ,BRN ,11477.2100000,1382.5483040,1970
Bhután                                                                ,BTN ,862.6929000,,1970
Botswana                                                              ,BWA ,11350.0090000,153.3261344,1970
República Centroafricana                                              ,CAF ,106092.4177000,104.4127659,1970
Canadá                                                                ,CAN ,494973.6350000,4121.9328090,1970
Europa Central y del Báltico                                          ,CEB ,1333732.6180000,,1970
Suiza                                                                 ,CHE ,50087.6589000,3927.2865330,1970
Islas del Canal                                                       ,CHI ,0.0000000,,1970
Islas Caimán                                                          ,CYM ,73.9447863,,1970
Chile                                                                 ,CHL ,42181.6760000,932.8615692,1970
China                                                                 ,CHN ,1873971.6750000,113.1629916,1970
Côte d'Ivoire                                                         ,CIV ,116579.6350000,285.2733698,1970
Camerún                                                               ,CMR ,65737.6390000,177.9209519,1970
"Congo, República Democrática del                                      ",COD ,1550424.3700000,243.7497444,1970
"Congo, República del                                                  ",COG ,68611.8310000,207.2227057,1970
Colombia                                                              ,COL ,128348.9590000,335.1181880,1970
Comoras                                                               ,COM ,203.4140300,,1970
Cabo Verde                                                            ,CPV ,193.0213600,,1970
Costa Rica                                                            ,CRI ,5198.3474000,533.0915649,1970
Estados pequeos del Caribe                                            ,CSS ,35617.4262600,755.1430154,1970
Cuba                                                                  ,CUB ,42413.9920000,653.4265032,1970
