countryname,countrycode,co2,gdp,anio
Afganistán                                                            ,AFG ,12307.0638000,,1991
Angola                                                                ,AGO ,43761.0812700,865.6927296,1991
Albania                                                               ,ALB ,8273.6324000,336.5869945,1991
Andorra                                                               ,AND ,0.0000000,19532.5401500,1991
El mundo árabe                                                        ,ARB ,844941.0216000,1929.6184370,1991
Emiratos Árabes Unidos                                                ,ARE ,80008.3057300,26612.3355400,1991
Argentina                                                             ,ARG ,267188.7341000,5735.3603270,1991
Armenia                                                               ,ARM ,25425.6997000,590.1210473,1991
Samoa Americana                                                       ,ASM ,20.9670057,,1991
Antigua y Barbuda                                                     ,ATG ,373.3581620,7601.8484910,1991
Australia                                                             ,AUS ,499346.7300000,18821.4773900,1991
Austria                                                               ,AUT ,83261.9890000,22410.9117400,1991
Curacao                                                               ,CUW ,0.0000000,,1991
Azerbaiyán                                                            ,AZE ,78972.5094000,1209.2374930,1991
Burundi                                                               ,BDI ,2883.2595000,209.7778979,1991
Bélgica                                                               ,BEL ,142753.2930000,21041.6606400,1991
Benin                                                                 ,BEN ,38173.3530000,385.7536160,1991
Burkina Faso                                                          ,BFA ,11859.6820000,346.4106724,1991
Bangladesh                                                            ,BGD ,126700.0130000,293.1604155,1991
Bulgaria                                                              ,BGR ,85680.6490000,1267.7343750,1991
Bahrein                                                               ,BHR ,14435.8217500,9055.6799360,1991
Bahamas                                                               ,BHS ,3468.7089700,11919.7879000,1991
Bosnia y Herzegovina                                                  ,BIH ,28192.9298000,,1991
Belarús                                                               ,BLR ,181585.1960000,1765.7445560,1991
Belice                                                                ,BLZ ,690.1236800,2326.8215540,1991
Bermudas                                                              ,BMU ,581.5478840,27700.3095200,1991
Bolivia                                                               ,BOL ,183161.8790000,762.0780331,1991
Brasil                                                                ,BRA ,1569962.2200000,3975.3900890,1991
Barbados                                                              ,BRB ,1244.5913700,7714.9489400,1991
Brunei Darussalam                                                     ,BRN ,17604.6499000,13905.0638700,1991
Bhután                                                                ,BTN ,1276.9159100,467.6971074,1991
Botswana                                                              ,BWA ,10963.4400000,2972.7267110,1991
República Centroafricana                                              ,CAF ,106093.7413000,478.5029439,1991
Canadá                                                                ,CAN ,626149.4400000,21768.3432900,1991
Europa Central y del Báltico                                          ,CEB ,1266632.0020000,2202.7517560,1991
Suiza                                                                 ,CHE ,57853.8406000,38399.2106100,1991
Islas del Canal                                                       ,CHI ,0.0000000,,1991
Islas Caimán                                                          ,CYM ,307.3459570,,1991
Chile                                                                 ,CHL ,52935.4820000,2803.5620900,1991
China                                                                 ,CHN ,4035212.6070000,333.1421454,1991
Côte d'Ivoire                                                         ,CIV ,123933.5050000,848.7529100,1991
Camerún                                                               ,CMR ,80901.3240000,1024.4241350,1991
"Congo, República Democrática del                                      ",COD ,1148406.9500000,268.0564628,1991
"Congo, República del                                                  ",COG ,54144.4893600,1124.9011140,1991
Colombia                                                              ,COL ,172087.4622000,1456.6939690,1991
Comoras                                                               ,COM ,295.3637960,1000.5586510,1991
Cabo Verde                                                            ,CPV ,217.5012800,923.7416128,1991
Costa Rica                                                            ,CRI ,8911.0919000,2238.8536440,1991
Estados pequeos del Caribe                                            ,CSS ,42458.1599000,2945.2980810,1991
Cuba                                                                  ,CUB ,50969.2290000,2278.2086800,1991
Chipre                                                                ,CYP ,5706.5855800,9696.0995930,1991
República Checa                                                       ,CZE ,178391.6360000,2878.7192830,1991
Alemania                                                              ,DEU ,1219016.8300000,23357.7577300,1991
Djibouti                                                              ,DJI ,1920.3030700,762.0113217,1991
Dominica                                                              ,DMA ,130.2093830,3122.7899820,1991
Dinamarca                                                             ,DNK ,83046.2940000,27011.3774600,1991
República Dominicana                                                  ,DOM ,17837.3701400,1338.8960450,1991
Argelia                                                               ,DZA ,111649.0030000,1731.6112740,1991
Asia oriental y el Pacífico (excluido altos ingresos)                 ,EAP ,7968440.7500000,441.5091299,1991
inicial del dividendo demográfico                                     ,EAR ,8132459.7930000,929.4271801,1991
Asia oriental y el Pacífico                                           ,EAS ,10386967.5800000,2893.4565110,1991
Europa y Asia central (excluido altos ingresos)                       ,ECA ,5650260.3240000,2400.1595880,1991
Europa y Asia central                                                 ,ECS ,11301662.5000000,10799.2893500,1991
Ecuador                                                               ,ECU ,32029.7510000,1622.2082430,1991
"Egipto, República Árabe de                                            ",EGY ,141847.4560000,651.0775817,1991
Zona del Euro                                                         ,EMU ,3605658.6860000,19541.7028300,1991
Eritrea                                                               ,ERI ,3334.6589000,,1991
España                                                                ,ESP ,300579.8790000,14811.9028100,1991
Estonia                                                               ,EST ,51527.4219000,,1991
Etiopía                                                               ,ETH ,63661.3906400,271.3944118,1991
Unión Europea                                                         ,EUU ,4812873.1670000,15963.6800100,1991
Frágiles y situaciones de conflicto afectados                         ,FCS ,3100437.8100000,672.2020449,1991
Finlandia                                                             ,FIN ,75468.1331300,25484.7392900,1991
Fiji                                                                  ,FJI ,2172.7677000,1881.7541180,1991
Francia                                                               ,FRA ,580971.9500000,21675.0642500,1991
Islas Feroe                                                           ,FRO ,0.0000000,,1991
Micronesia (Estados Federados de)                                     ,FSM ,48.5171430,1682.6971750,1991
Gabón                                                                 ,GAB ,11480.4313400,5537.0097210,1991
Reino Unido                                                           ,GBR ,782637.3500000,19900.7266500,1991
Georgia                                                               ,GEO ,31422.5260000,1314.6706700,1991
Ghana                                                                 ,GHA ,24852.7760200,433.7730651,1991
Gibraltar                                                             ,GIB ,219.4156770,,1991
Guinea                                                                ,GIN ,52861.4720000,461.3494585,1991
Gambia                                                                ,GMB ,1142.1948800,695.4095874,1991
Guinea-Bissau                                                         ,GNB ,1495.2571000,257.7891756,1991
Guinea Ecuatorial                                                     ,GNQ ,656.3635450,256.2210082,1991
Grecia                                                                ,GRC ,95667.0694000,10188.3697800,1991
Granada                                                               ,GRD ,157.4551630,3117.9544770,1991
Groenlandia                                                           ,GRL ,0.0000000,18315.1963000,1991
Guatemala                                                             ,GTM ,16838.0136000,1011.7549660,1991
Guam                                                                  ,GUM ,61.4934162,,1991
Guyana                                                                ,GUY ,16507.5378000,468.1601974,1991
