countryname,countrycode,co2,gdp,anio
Afganistán                                                            ,AFG ,13842.7381000,179.4266110,2002
Angola                                                                ,AGO ,34490.3690000,872.4944916,2002
Albania                                                               ,ALB ,7503.0597600,1425.1248490,2002
Andorra                                                               ,AND ,0.0000000,25066.8822100,2002
El mundo árabe                                                        ,ARB ,1927544.1550000,2476.6960290,2002
Emiratos Árabes Unidos                                                ,ARE ,126800.2057000,31567.4737100,2002
Argentina                                                             ,ARG ,311051.9300000,2593.4041500,2002
Armenia                                                               ,ARM ,6460.2393000,783.2406986,2002
Samoa Americana                                                       ,ASM ,51.3482100,8700.0677050,2002
Antigua y Barbuda                                                     ,ATG ,406.4320420,10404.4362100,2002
Australia                                                             ,AUS ,1117450.0200000,20082.4832700,2002
Austria                                                               ,AUT ,87386.6881700,26401.7454600,2002
Curacao                                                               ,CUW ,0.0000000,,2002
Azerbaiyán                                                            ,AZE ,40298.5460000,763.0806380,2002
Burundi                                                               ,BDI ,5029.5112000,123.1176280,2002
Bélgica                                                               ,BEL ,138048.5140000,24887.5613300,2002
Benin                                                                 ,BEN ,47757.3440000,572.2287954,2002
Burkina Faso                                                          ,BFA ,50062.4770000,293.2807467,2002
Bangladesh                                                            ,BGD ,143812.5730000,413.0802546,2002
Bulgaria                                                              ,BGR ,63711.0187000,2092.9576940,2002
Bahrein                                                               ,BHR ,19967.0134000,13049.8032200,2002
Bahamas                                                               ,BHS ,3255.0009500,28866.8010100,2002
Bosnia y Herzegovina                                                  ,BIH ,17112.2990000,1769.1998280,2002
Belarús                                                               ,BLR ,89727.1050000,1479.3145830,2002
Belice                                                                ,BLZ ,1702.5859000,3525.6385830,2002
Bermudas                                                              ,BMU ,527.0962860,62583.1002000,2002
Bolivia                                                               ,BOL ,110701.1930000,904.2266273,2002
Brasil                                                                ,BRA ,1591827.0500000,2829.2831920,2002
Barbados                                                              ,BRB ,1263.7357500,11361.4336700,2002
Brunei Darussalam                                                     ,BRN ,9840.8143000,16850.1511300,2002
Bhután                                                                ,BTN ,1707.6003900,845.5102798,2002
Botswana                                                              ,BWA ,51450.3020000,3190.6154530,2002
República Centroafricana                                              ,CAF ,350970.5900000,260.7455273,2002
Canadá                                                                ,CAN ,908686.1500000,24169.2847300,2002
Europa Central y del Báltico                                          ,CEB ,960407.7135000,4929.7604690,2002
Suiza                                                                 ,CHE ,52997.4193000,41376.3939900,2002
Islas del Canal                                                       ,CHI ,0.0000000,44544.4334400,2002
Islas Caimán                                                          ,CYM ,0.0000000,,2002
Chile                                                                 ,CHL ,91214.1480000,4446.2505050,2002
