countryname,countrycode,co2,gdp,anio
Afganistán                                                            ,AFG ,14391.7782000,159.5675785,1971
Angola                                                                ,AGO ,39162.1714300,,1971
Albania                                                               ,ALB ,6950.0361000,,1971
Andorra                                                               ,AND ,0.0000000,3498.1736520,1971
El mundo árabe                                                        ,ARB ,576946.1523000,295.9717285,1971
Emiratos Árabes Unidos                                                ,ARE ,41377.8451300,,1971
Argentina                                                             ,ARG ,213551.7884000,1372.3743430,1971
Armenia                                                               ,ARM ,6383.6720000,,1971
Samoa Americana                                                       ,ASM ,13.2473257,,1971
Antigua y Barbuda                                                     ,ATG ,0.0000000,,1971
Australia                                                             ,AUS ,314446.1490000,3489.9522940,1971
Austria                                                               ,AUT ,71138.8840000,2380.9784430,1971
Curacao                                                               ,CUW ,0.0000000,,1971
Azerbaiyán                                                            ,AZE ,26657.9303000,,1971
Burundi                                                               ,BDI ,2201.9823000,71.6267707,1971
Bélgica                                                               ,BEL ,154470.0637000,3082.9279550,1971
Benin                                                                 ,BEN ,34456.5724000,112.5700891,1971
Burkina Faso                                                          ,BFA ,7344.6457000,84.2878150,1971
Bangladesh                                                            ,BGD ,107540.6250000,133.5514230,1971
Bulgaria                                                              ,BGR ,88234.3530000,,1971
Bahrein                                                               ,BHR ,3952.2316590,,1971
Bahamas                                                               ,BHS ,0.0000000,3297.5058800,1971
Bosnia y Herzegovina                                                  ,BIH ,23613.1932000,,1971
Belarús                                                               ,BLR ,138534.1200000,,1971
Belice                                                                ,BLZ ,324.4997500,474.4442162,1971
Bermudas                                                              ,BMU ,350.0675070,3866.3003660,1971
Bolivia                                                               ,BOL ,122460.0750000,239.1281250,1971
Brasil                                                                ,BRA ,968552.5180000,504.7495161,1971
Barbados                                                              ,BRB ,703.0532000,,1971
Brunei Darussalam                                                     ,BRN ,8060.8666000,1455.8983070,1971
Bhután                                                                ,BTN ,876.6889300,,1971
Botswana                                                              ,BWA ,6558.9852000,196.4231201,1971
República Centroafricana                                              ,CAF ,101998.9987000,109.4532998,1971
Canadá                                                                ,CAN ,512428.6300000,4520.1628650,1971
Europa Central y del Báltico                                          ,CEB ,1341337.3040000,,1971
Suiza                                                                 ,CHE ,51338.6844000,4694.7171630,1971
Islas del Canal                                                       ,CHI ,0.0000000,,1971
Islas Caimán                                                          ,CYM ,74.5234564,,1971
Chile                                                                 ,CHL ,43511.1332000,1094.6810420,1971
China                                                                 ,CHN ,1914331.7700000,118.6545778,1971
Côte d'Ivoire                                                         ,CIV ,113930.4930000,297.2798585,1971
Camerún                                                               ,CMR ,64421.9690000,184.4623951,1971
"Congo, República Democrática del                                      ",COD ,899793.2900000,272.0653633,1971
"Congo, República del                                                  ",COG ,42385.5500000,235.8358995,1971
Colombia                                                              ,COL ,113238.1722000,355.4075658,1971
Comoras                                                               ,COM ,204.8424300,,1971
Cabo Verde                                                            ,CPV ,191.7006040,,1971
Costa Rica                                                            ,CRI ,5259.1809000,568.0955480,1971
Estados pequeos del Caribe                                            ,CSS ,35237.9113500,811.1319100,1971
Cuba                                                                  ,CUB ,40754.4660000,779.7241411,1971
Chipre                                                                ,CYP ,2789.7794600,,1971
República Checa                                                       ,CZE ,212880.7745000,,1971
Alemania                                                              ,DEU ,1283784.3000000,3192.1336180,1971
Djibouti                                                              ,DJI ,1059.4451300,,1971
Dominica                                                              ,DMA ,52.8779620,,1971
Dinamarca                                                             ,DNK ,74949.3262000,3845.5060890,1971
República Dominicana                                                  ,DOM ,9420.4392000,360.1522300,1971
Argelia                                                               ,DZA ,38924.7223000,341.3889873,1971
Asia oriental y el Pacífico (excluido altos ingresos)                 ,EAP ,3130419.8090000,118.7482010,1971
inicial del dividendo demográfico                                     ,EAR ,3671449.8770000,235.7142831,1971
Asia oriental y el Pacífico                                           ,EAS ,4604553.9680000,341.9602422,1971
Europa y Asia central (excluido altos ingresos)                       ,ECA ,3608287.0360000,,1971
Europa y Asia central                                                 ,ECS ,9101331.9290000,1544.6324130,1971
Ecuador                                                               ,ECU ,12552.5025000,440.8573691,1971
"Egipto, República Árabe de                                            ",EGY ,56632.3490000,243.8067877,1971
Zona del Euro                                                         ,EMU ,3387770.0190000,2521.8817970,1971
Eritrea                                                               ,ERI ,2934.1230000,,1971
España                                                                ,ESP ,183755.7600000,1362.1655170,1971
Estonia                                                               ,EST ,65084.3648000,,1971
Etiopía                                                               ,ETH ,54376.1020000,,1971
Unión Europea                                                         ,EUU ,4633749.2500000,2113.9509640,1971
Frágiles y situaciones de conflicto afectados                         ,FCS ,2107754.7950000,140.1686862,1971
Finlandia                                                             ,FIN ,58500.5289000,2716.1900000,1971
Fiji                                                                  ,FJI ,1157.8933800,466.0139527,1971
