countryname,countrycode,co2,gdp,anio
Afganistán                                                            ,AFG ,15288.7756000,364.6607448,2008
Angola                                                                ,AGO ,37396.2940000,4080.9414100,2008
Albania                                                               ,ALB ,8136.7850000,4370.5401270,2008
Andorra                                                               ,AND ,0.0000000,48718.4968700,2008
El mundo árabe                                                        ,ARB ,2364088.6630000,6146.3917270,2008
Emiratos Árabes Unidos                                                ,ARE ,181388.5363000,44498.9342300,2008
Argentina                                                             ,ARG ,411503.6300000,9020.8730980,2008
Armenia                                                               ,ARM ,12469.9830000,4010.8572430,2008
Samoa Americana                                                       ,ASM ,54.6163230,9792.6668060,2008
Antigua y Barbuda                                                     ,ATG ,491.8973900,16024.3455500,2008
Australia                                                             ,AUS ,892629.2700000,49601.6567100,2008
Austria                                                               ,AUT ,94608.8218300,51708.7657500,2008
Curacao                                                               ,CUW ,0.0000000,,2008
Azerbaiyán                                                            ,AZE ,53832.8169000,5574.6038020,2008
Burundi                                                               ,BDI ,5724.9553000,198.3529006,2008
Bélgica                                                               ,BEL ,137213.8670000,48106.8929200,2008
Benin                                                                 ,BEN ,37639.9250000,1120.8882730,2008
Burkina Faso                                                          ,BFA ,40706.2980000,640.8108774,2008
Bangladesh                                                            ,BGD ,164700.5030000,634.9870565,2008
Bulgaria                                                              ,BGR ,71720.3350000,7265.7354970,2008
Bahrein                                                               ,BHR ,0.0000000,23066.5337600,2008
Bahamas                                                               ,BHS ,4339.6605800,30627.2386300,2008
Bosnia y Herzegovina                                                  ,BIH ,24236.6085000,5090.9323450,2008
Belarús                                                               ,BLR ,100860.1753000,6377.3697320,2008
Belice                                                                ,BLZ ,1408.1490200,4404.3308360,2008
Bermudas                                                              ,BMU ,0.0000000,93605.7481700,2008
Bolivia                                                               ,BOL ,120003.2530000,1715.2089220,2008
Brasil                                                                ,BRA ,1532859.8300000,8831.0231170,2008
Barbados                                                              ,BRB ,0.0000000,17092.5821400,2008
Brunei Darussalam                                                     ,BRN ,13738.0621000,37934.3765100,2008
Bhután                                                                ,BTN ,1908.2862300,1828.1492330,2008
Botswana                                                              ,BWA ,73051.1312000,5713.5349830,2008
República Centroafricana                                              ,CAF ,603473.0980000,464.5614221,2008
Canadá                                                                ,CAN ,908926.0000000,46594.4509500,2008
Europa Central y del Báltico                                          ,CEB ,1013348.7630000,14576.9914100,2008
Suiza                                                                 ,CHE ,56634.8927000,72487.8459300,2008
Islas del Canal                                                       ,CHI ,0.0000000,,2008
Islas Caimán                                                          ,CYM ,0.0000000,85187.8402400,2008
Chile                                                                 ,CHL ,111021.0430000,10751.4796700,2008
China                                                                 ,CHN ,10022024.8000000,3468.3044630,2008
Côte d'Ivoire                                                         ,CIV ,29682.2390000,1235.6133660,2008
Camerún                                                               ,CMR ,120917.1920000,1371.7467080,2008
