countryname,countrycode,co2,gdp,anio
Afganistán                                                            ,AFG ,14923.0750000,275.7381976,1979
Angola                                                                ,AGO ,56644.6519700,,1979
Albania                                                               ,ALB ,11248.3583000,,1979
Andorra                                                               ,AND ,0.0000000,11820.8493900,1979
El mundo árabe                                                        ,ARB ,883707.0288000,1563.7073310,1979
Emiratos Árabes Unidos                                                ,ARE ,57226.4289000,33512.7413300,1979
Argentina                                                             ,ARG ,255920.0600000,2520.9216340,1979
Armenia                                                               ,ARM ,13468.8879000,,1979
Samoa Americana                                                       ,ASM ,14.9500365,,1979
Antigua y Barbuda                                                     ,ATG ,0.0000000,1760.7176340,1979
Australia                                                             ,AUS ,412123.0220000,9281.5233560,1979
Austria                                                               ,AUT ,80645.1730000,9793.7653070,1979
Curacao                                                               ,CUW ,0.0000000,,1979
Azerbaiyán                                                            ,AZE ,48375.5232000,,1979
Burundi                                                               ,BDI ,2569.6900000,193.1502023,1979
Bélgica                                                               ,BEL ,176335.5730000,11810.6158800,1979
Benin                                                                 ,BEN ,35202.2378000,327.8216780,1979
Burkina Faso                                                          ,BFA ,7889.1160000,262.0760096,1979
Bangladesh                                                            ,BGD ,120688.2930000,200.7696641,1979
Bulgaria                                                              ,BGR ,116051.2590000,,1979
Bahrein                                                               ,BHR ,10339.1642100,,1979
Bahamas                                                               ,BHS ,0.0000000,5533.4399760,1979
Bosnia y Herzegovina                                                  ,BIH ,22408.0693000,,1979
Belarús                                                               ,BLR ,185103.4140000,,1979
Belice                                                                ,BLZ ,452.7392000,1074.2719650,1979
Bermudas                                                              ,BMU ,0.0000000,9613.3829000,1979
Bolivia                                                               ,BOL ,175554.1890000,809.4112894,1979
Brasil                                                                ,BRA ,1415028.5780000,1908.4876270,1979
Barbados                                                              ,BRB ,856.0613200,2667.0371400,1979
Brunei Darussalam                                                     ,BRN ,15031.5298000,14945.2037600,1979
Bhután                                                                ,BTN ,1014.1073100,,1979
Botswana                                                              ,BWA ,13212.8310000,947.7528545,1979
República Centroafricana                                              ,CAF ,101345.8550000,327.3413778,1979
Canadá                                                                ,CAN ,656571.0700000,10043.6609400,1979
Europa Central y del Báltico                                          ,CEB ,1726697.7380000,,1979
Suiza                                                                 ,CHE ,52079.6124000,17736.5534100,1979
Islas del Canal                                                       ,CHI ,0.0000000,,1979
Islas Caimán                                                          ,CYM ,97.3383100,,1979
Chile                                                                 ,CHL ,43598.9012000,1937.2665720,1979
China                                                                 ,CHN ,2773803.8170000,183.9831522,1979
Côte d'Ivoire                                                         ,CIV ,116000.2710000,1189.5697900,1979
Camerún                                                               ,CMR ,66568.2340000,694.6862849,1979
"Congo, República Democrática del                                      ",COD ,1481813.4800000,587.1517220,1979
"Congo, República del                                                  ",COG ,66346.5720000,694.1764248,1979
Colombia                                                              ,COL ,149630.7182000,1061.8484260,1979
Comoras                                                               ,COM ,251.9120900,,1979
Cabo Verde                                                            ,CPV ,291.3252970,,1979
Costa Rica                                                            ,CRI ,7907.6855000,1734.6149880,1979
Estados pequeos del Caribe                                            ,CSS ,35636.2010200,1999.1984310,1979
Cuba                                                                  ,CUB ,56403.4240000,2000.2799850,1979
Chipre                                                                ,CYP ,3598.3317800,2559.2596750,1979
República Checa                                                       ,CZE ,227303.8990000,,1979
Alemania                                                              ,DEU ,1411701.4300000,11281.0233200,1979
Djibouti                                                              ,DJI ,1757.5677700,,1979
Dominica                                                              ,DMA ,65.3580430,734.0105248,1979
Dinamarca                                                             ,DNK ,84769.0332000,13751.9989500,1979
República Dominicana                                                  ,DOM ,14246.4533000,969.4987321,1979
