countryname,countrycode,co2,gdp,anio
Afganistán                                                            ,AFG ,15554.4295000,438.0760344,2009
Angola                                                                ,AGO ,38309.4651300,3122.7807660,2009
Albania                                                               ,ALB ,8108.8123870,4114.1401140,2009
Andorra                                                               ,AND ,0.0000000,43503.1855200,2009
El mundo árabe                                                        ,ARB ,2387502.0110000,5176.5283240,2009
Emiratos Árabes Unidos                                                ,ARE ,182422.1692000,32024.1816000,2009
Argentina                                                             ,ARG ,373409.0656000,8225.1371760,2009
Armenia                                                               ,ARM ,11235.0892700,2994.3425440,2009
Samoa Americana                                                       ,ASM ,54.9893494,11961.2582300,2009
Antigua y Barbuda                                                     ,ATG ,0.0000000,14113.0772600,2009
Australia                                                             ,AUS ,1105167.2360000,42772.3591700,2009
Austria                                                               ,AUT ,89046.7550200,47963.1794000,2009
Curacao                                                               ,CUW ,0.0000000,,2009
Azerbaiyán                                                            ,AZE ,49623.1778700,4950.2947910,2009
Burundi                                                               ,BDI ,5925.8766870,212.1368804,2009
Bélgica                                                               ,BEL ,131110.2895000,44583.5448100,2009
Benin                                                                 ,BEN ,38068.3747300,1084.3939000,2009
Burkina Faso                                                          ,BFA ,43473.0978900,621.6731034,2009
Bangladesh                                                            ,BGD ,169927.9133000,702.2644100,2009
Bulgaria                                                              ,BGR ,65132.8579000,6984.9659760,2009
Bahrein                                                               ,BHR ,29249.5794600,19355.9046700,2009
Bahamas                                                               ,BHS ,4335.9269060,28552.1904800,2009
Bosnia y Herzegovina                                                  ,BIH ,24471.8965500,4714.7024950,2009
Belarús                                                               ,BLR ,101754.7917000,5351.3553820,2009
Belice                                                                ,BLZ ,1534.3645830,4186.4899650,2009
Bermudas                                                              ,BMU ,561.2637454,88463.3128200,2009
Bolivia                                                               ,BOL ,76425.9663500,1754.2110610,2009
Brasil                                                                ,BRA ,1211969.4080000,8597.9153520,2009
Barbados                                                              ,BRB ,0.0000000,15885.5797100,2009
Brunei Darussalam                                                     ,BRN ,13549.7997000,27955.7138600,2009
Bhután                                                                ,BTN ,2190.9206840,1819.2134010,2009
Botswana                                                              ,BWA ,22941.9658500,5255.7684610,2009
República Centroafricana                                              ,CAF ,428273.6122000,474.7054087,2009
Canadá                                                                ,CAN ,749863.6540000,40773.0615300,2009
Europa Central y del Báltico                                          ,CEB ,950398.1581000,12293.3919800,2009
Suiza                                                                 ,CHE ,55245.9738700,69927.4687700,2009
Islas del Canal                                                       ,CHI ,0.0000000,,2009
Islas Caimán                                                          ,CYM ,0.0000000,77398.0158400,2009
Chile                                                                 ,CHL ,110404.5319000,10208.9067600,2009
China                                                                 ,CHN ,10617264.9000000,3832.2359520,2009
Côte d'Ivoire                                                         ,CIV ,30685.2342700,1210.2954260,2009
Camerún                                                               ,CMR ,116739.1919000,1314.7060150,2009
"Congo, República Democrática del                                      ",COD ,731884.6268000,298.6196821,2009
"Congo, República del                                                  ",COG ,34611.2805500,2314.2660250,2009
Colombia                                                              ,COL ,171912.0290000,5193.2414510,2009
