countryname,countrycode,co2,gdp,anio
Afganistán                                                            ,AFG ,15615.3330000,,1982
Angola                                                                ,AGO ,45243.8020800,619.9613575,1982
Albania                                                               ,ALB ,10730.5261000,,1982
Andorra                                                               ,AND ,0.0000000,9610.2663080,1982
El mundo árabe                                                        ,ARB ,888519.7451000,1864.8757010,1982
Emiratos Árabes Unidos                                                ,ARE ,52758.6888000,40026.1662500,1982
Argentina                                                             ,ARG ,243613.0200000,2927.8975600,1982
Armenia                                                               ,ARM ,15764.9062000,,1982
Samoa Americana                                                       ,ASM ,16.0547171,,1982
Antigua y Barbuda                                                     ,ATG ,551.3372250,2660.6011570,1982
Australia                                                             ,AUS ,428739.9620000,12766.5222500,1982
Austria                                                               ,AUT ,73093.7230000,9410.3472250,1982
Curacao                                                               ,CUW ,0.0000000,,1982
Azerbaiyán                                                            ,AZE ,56895.2758000,,1982
Burundi                                                               ,BDI ,2230.5549000,231.3438523,1982
Bélgica                                                               ,BEL ,144653.9370000,9343.8611440,1982
Benin                                                                 ,BEN ,41951.5770000,322.7776995,1982
Burkina Faso                                                          ,BFA ,8991.3131000,245.0947024,1982
Bangladesh                                                            ,BGD ,117881.5590000,220.7188101,1982
Bulgaria                                                              ,BGR ,118133.1790000,2169.0040110,1982
Bahrein                                                               ,BHR ,12013.5083800,9446.1580020,1982
Bahamas                                                               ,BHS ,5156.4002200,7168.0957740,1982
Bosnia y Herzegovina                                                  ,BIH ,23494.1402000,,1982
Belarús                                                               ,BLR ,187935.0130000,,1982
Belice                                                                ,BLZ ,557.5484400,1202.6820260,1982
Bermudas                                                              ,BMU ,775.6072860,14166.1712900,1982
Bolivia                                                               ,BOL ,178438.7970000,960.9836129,1982
Brasil                                                                ,BRA ,1445809.2360000,2226.7672610,1982
Barbados                                                              ,BRB ,1111.4133600,4580.8984120,1982
Brunei Darussalam                                                     ,BRN ,15241.3761000,20693.7244900,1982
Bhután                                                                ,BTN ,1095.1673700,347.2196982,1982
Botswana                                                              ,BWA ,10909.3520000,1054.0384310,1982
República Centroafricana                                              ,CAF ,126822.0430000,320.4306554,1982
Canadá                                                                ,CAN ,576432.3800000,12481.8747900,1982
Europa Central y del Báltico                                          ,CEB ,1698560.9350000,,1982
Suiza                                                                 ,CHE ,47999.6173000,17478.6557900,1982
Islas del Canal                                                       ,CHI ,0.0000000,,1982
Islas Caimán                                                          ,CYM ,193.9420950,,1982
Chile                                                                 ,CHL ,38088.9910000,2156.5126990,1982
China                                                                 ,CHN ,2815057.9370000,203.3349195,1982
Côte d'Ivoire                                                         ,CIV ,135869.4640000,863.3336296,1982
Camerún                                                               ,CMR ,79285.9050000,798.8503937,1982
"Congo, República Democrática del                                      ",COD ,1219832.0900000,492.5325268,1982
"Congo, República del                                                  ",COG ,56274.5740000,1146.3044320,1982
Colombia                                                              ,COL ,154633.6930000,1386.6732160,1982
Comoras                                                               ,COM ,249.9828100,562.8115825,1982
Cabo Verde                                                            ,CPV ,182.2547390,477.9230141,1982
Costa Rica                                                            ,CRI ,7456.0107000,1032.9986420,1982
Estados pequeos del Caribe                                            ,CSS ,42543.3586600,2940.2216120,1982
Cuba                                                                  ,CUB ,59314.8030000,2107.9317930,1982
Chipre                                                                ,CYP ,3731.4602800,4122.7844990,1982
República Checa                                                       ,CZE ,221727.7000000,,1982
Alemania                                                              ,DEU ,1267150.2200000,9913.7376440,1982
Djibouti                                                              ,DJI ,1205.1449800,,1982
Dominica                                                              ,DMA ,99.8749960,1193.6532760,1982
Dinamarca                                                             ,DNK ,76205.9570000,11804.4328900,1982
República Dominicana                                                  ,DOM ,14125.3616000,1362.5104450,1982
Argelia                                                               ,DZA ,83128.8980000,2210.3019280,1982
Asia oriental y el Pacífico (excluido altos ingresos)                 ,EAP ,6756467.1720000,298.6455541,1982
inicial del dividendo demográfico                                     ,EAR ,7414892.3540000,824.5934924,1982
Asia oriental y el Pacífico                                           ,EAS ,8611437.7180000,1217.4856800,1982
Europa y Asia central (excluido altos ingresos)                       ,ECA ,4776757.5870000,,1982
Europa y Asia central                                                 ,ECS ,10676427.8500000,4907.3341040,1982
