countryname,countrycode,co2,gdp,anio
Afganistán                                                            ,AFG ,12959.2948000,,1988
Angola                                                                ,AGO ,35736.7658000,792.3031202,1988
Albania                                                               ,ALB ,12603.8867000,652.7743214,1988
Andorra                                                               ,AND ,0.0000000,14304.3569600,1988
El mundo árabe                                                        ,ARB ,803738.8551000,1476.0447070,1988
Emiratos Árabes Unidos                                                ,ARE ,64750.9019000,22295.1461100,1988
Argentina                                                             ,ARG ,266245.2200000,3985.1912100,1988
Armenia                                                               ,ARM ,17613.5979000,,1988
Samoa Americana                                                       ,ASM ,20.0081174,,1988
Antigua y Barbuda                                                     ,ATG ,387.7783970,6453.4770000,1988
Australia                                                             ,AUS ,434706.1640000,14254.5575700,1988
Austria                                                               ,AUT ,75021.9800000,17578.6189400,1988
Curacao                                                               ,CUW ,0.0000000,,1988
Azerbaiyán                                                            ,AZE ,65201.0556000,,1988
Burundi                                                               ,BDI ,2648.2604000,209.4150634,1988
Bélgica                                                               ,BEL ,137543.0140000,16391.0938200,1988
Benin                                                                 ,BEN ,35110.8449000,346.7360377,1988
Burkina Faso                                                          ,BFA ,10688.8000000,313.0618911,1988
Bangladesh                                                            ,BGD ,122476.9310000,270.6996009,1988
Bulgaria                                                              ,BGR ,122089.1210000,2511.3930630,1988
Bahrein                                                               ,BHR ,16271.9031900,7958.7479250,1988
Bahamas                                                               ,BHS ,3342.2367700,11387.7090800,1988
Bosnia y Herzegovina                                                  ,BIH ,29031.1200000,,1988
Belarús                                                               ,BLR ,186056.8330000,,1988
Belice                                                                ,BLZ ,475.7350400,1787.9513830,1988
Bermudas                                                              ,BMU ,792.2227220,24253.1755200,1988
Bolivia                                                               ,BOL ,165829.9040000,698.6926399,1988
Brasil                                                                ,BRA ,1454114.8310000,2300.3768440,1988
Barbados                                                              ,BRB ,1194.8040800,6999.6869130,1988
Brunei Darussalam                                                     ,BRN ,16488.2324000,11009.3024300,1988
Bhután                                                                ,BTN ,1188.1706100,557.0825320,1988
Botswana                                                              ,BWA ,8752.6552000,2203.6576330,1988
República Centroafricana                                              ,CAF ,95503.7130000,469.5293413,1988
Canadá                                                                ,CAN ,623176.9600000,18936.9641000,1988
Europa Central y del Báltico                                          ,CEB ,1744121.7870000,,1988
Suiza                                                                 ,CHE ,54226.7025000,31743.6529100,1988
Islas del Canal                                                       ,CHI ,0.0000000,,1988
Islas Caimán                                                          ,CYM ,300.3603950,,1988
Chile                                                                 ,CHL ,45207.9170000,2026.8385450,1988
China                                                                 ,CHN ,3680670.8470000,283.5376952,1988
Côte d'Ivoire                                                         ,CIV ,114145.5300000,924.3265787,1988
Camerún                                                               ,CMR ,70500.7790000,1128.0190280,1988
"Congo, República Democrática del                                      ",COD ,880361.5600000,273.1278446,1988
"Congo, República del                                                  ",COG ,43092.3561000,991.5173724,1988
Colombia                                                              ,COL ,160351.6090000,1232.2262310,1988
Comoras                                                               ,COM ,272.1273300,918.9021290,1988
Cabo Verde                                                            ,CPV ,197.0051800,811.3933564,1988
Costa Rica                                                            ,CRI ,8134.2080000,1558.5074480,1988
Estados pequeos del Caribe                                            ,CSS ,37694.2131000,2775.6099820,1988
Cuba                                                                  ,CUB ,63306.0720000,2640.9204540,1988
Chipre                                                                ,CYP ,4828.4064700,7645.6297670,1988
República Checa                                                       ,CZE ,215838.8870000,,1988
Alemania                                                              ,DEU ,1294253.9200000,17931.2823300,1988
Djibouti                                                              ,DJI ,1233.9422700,748.1952492,1988
Dominica                                                              ,DMA ,121.0158310,2402.9067530,1988
Dinamarca                                                             ,DNK ,76420.9280000,22527.0467300,1988
República Dominicana                                                  ,DOM ,17140.9963000,783.0350590,1988
Argelia                                                               ,DZA ,107912.7160000,2417.3766830,1988
Asia oriental y el Pacífico (excluido altos ingresos)                 ,EAP ,6098285.7830000,368.4059554,1988
inicial del dividendo demográfico                                     ,EAR ,5809597.6480000,787.3199075,1988
Asia oriental y el Pacífico                                           ,EAS ,8221050.8960000,2463.5608300,1988
Europa y Asia central (excluido altos ingresos)                       ,ECA ,5268681.0630000,2425.7430720,1988
