countryname,countrycode,co2,gdp,anio
Afganistán                                                            ,AFG ,13535.7541000,143.1446495,1973
Angola                                                                ,AGO ,44252.6691200,,1973
Albania                                                               ,ALB ,7348.4921000,,1973
Andorra                                                               ,AND ,0.0000000,5342.1685600,1973
El mundo árabe                                                        ,ARB ,699280.2173000,423.1354923,1973
Emiratos Árabes Unidos                                                ,ARE ,56875.5078200,,1973
Argentina                                                             ,ARG ,226956.0333000,2097.0225790,1973
Armenia                                                               ,ARM ,7371.7577000,,1973
Samoa Americana                                                       ,ASM ,13.6753294,,1973
Antigua y Barbuda                                                     ,ATG ,0.0000000,,1973
Australia                                                             ,AUS ,333243.5630000,4763.6283900,1973
Austria                                                               ,AUT ,77365.3240000,3890.7224560,1973
Curacao                                                               ,CUW ,0.0000000,,1973
Azerbaiyán                                                            ,AZE ,30859.7489000,,1973
Burundi                                                               ,BDI ,2346.3096000,84.4186416,1973
Bélgica                                                               ,BEL ,172176.8142000,4900.9622010,1973
Benin                                                                 ,BEN ,37045.2727000,161.9873737,1973
Burkina Faso                                                          ,BFA ,6998.6991000,113.7805843,1973
Bangladesh                                                            ,BGD ,111165.3180000,119.5597434,1973
Bulgaria                                                              ,BGR ,92710.5920000,,1973
Bahrein                                                               ,BHR ,6762.5604030,,1973
Bahamas                                                               ,BHS ,0.0000000,3696.0725440,1973
Bosnia y Herzegovina                                                  ,BIH ,23434.2057000,,1973
Belarús                                                               ,BLR ,150803.6870000,,1973
Belice                                                                ,BLZ ,395.0525100,605.9334407,1973
Bermudas                                                              ,BMU ,472.1426760,5009.2936800,1973
Bolivia                                                               ,BOL ,125556.1300000,263.8923601,1973
Brasil                                                                ,BRA ,1022867.6440000,775.2733003,1973
Barbados                                                              ,BRB ,833.2538200,,1973
Brunei Darussalam                                                     ,BRN ,14587.9845000,2916.2088150,1973
Bhután                                                                ,BTN ,909.1852900,,1973
Botswana                                                              ,BWA ,8166.5800000,353.8554019,1973
República Centroafricana                                              ,CAF ,111111.4537000,143.1156197,1973
Canadá                                                                ,CAN ,520459.8600000,5838.6609120,1973
Europa Central y del Báltico                                          ,CEB ,1446894.6570000,,1973
Suiza                                                                 ,CHE ,56667.5255000,7628.3964660,1973
Islas del Canal                                                       ,CHI ,0.0000000,,1973
Islas Caimán                                                          ,CYM ,101.8743635,,1973
Chile                                                                 ,CHL ,44869.8527000,1640.0293800,1973
China                                                                 ,CHN ,2057487.3800000,157.0903743,1973
Côte d'Ivoire                                                         ,CIV ,121633.4360000,429.4134483,1973
Camerún                                                               ,CMR ,68260.6470000,249.3641074,1973
"Congo, República Democrática del                                      ",COD ,1021542.4400000,362.8436478,1973
"Congo, República del                                                  ",COG ,48644.8780000,374.1264116,1973
Colombia                                                              ,COL ,117834.3547000,448.0337199,1973
Comoras                                                               ,COM ,213.8545500,,1973
Cabo Verde                                                            ,CPV ,211.4000340,,1973
Costa Rica                                                            ,CRI ,6195.3052000,767.3302096,1973
Estados pequeos del Caribe                                            ,CSS ,31318.9873300,1000.8540740,1973
Cuba                                                                  ,CUB ,46313.5420000,1088.1275650,1973
Chipre                                                                ,CYP ,3448.3032000,,1973
República Checa                                                       ,CZE ,211492.3114000,,1973
Alemania                                                              ,DEU ,1364682.3200000,5046.7551070,1973
Djibouti                                                              ,DJI ,1129.8839100,,1973
Dominica                                                              ,DMA ,63.6699820,,1973
Dinamarca                                                             ,DNK ,76625.5667000,6119.3702220,1973
República Dominicana                                                  ,DOM ,10851.2082000,480.0529680,1973
Argelia                                                               ,DZA ,67626.6106000,554.7551249,1973
Asia oriental y el Pacífico (excluido altos ingresos)                 ,EAP ,3838570.5790000,161.5825979,1973
inicial del dividendo demográfico                                     ,EAR ,4439926.7000000,315.4742650,1973
Asia oriental y el Pacífico                                           ,EAS ,5538386.3120000,534.4654697,1973
Europa y Asia central (excluido altos ingresos)                       ,ECA ,3946347.0160000,,1973
Europa y Asia central                                                 ,ECS ,9876616.1080000,2318.7953120,1973
Ecuador                                                               ,ECU ,14205.3605000,588.3367983,1973
"Egipto, República Árabe de                                            ",EGY ,56631.8570000,273.6985848,1973
Zona del Euro                                                         ,EMU ,3702778.3390000,3903.5640900,1973
Eritrea                                                               ,ERI ,2919.6667000,,1973
España                                                                ,ESP ,211641.5040000,2247.5534100,1973
