countryname,countrycode,co2,gdp,anio
Afganistán                                                            ,AFG ,13040.8480000,135.3173083,1972
Angola                                                                ,AGO ,42205.6507000,,1972
Albania                                                               ,ALB ,7613.2661000,,1972
Andorra                                                               ,AND ,0.0000000,4217.1735810,1972
El mundo árabe                                                        ,ARB ,625015.9438000,343.5673060,1972
Emiratos Árabes Unidos                                                ,ARE ,44905.4627500,,1972
Argentina                                                             ,ARG ,223912.2788000,1408.8652080,1972
Armenia                                                               ,ARM ,6750.8237000,,1972
Samoa Americana                                                       ,ASM ,13.4481150,,1972
Antigua y Barbuda                                                     ,ATG ,0.0000000,,1972
Australia                                                             ,AUS ,355430.7710000,3943.7876390,1972
Austria                                                               ,AUT ,73531.4960000,2924.0488710,1972
Curacao                                                               ,CUW ,0.0000000,,1972
Azerbaiyán                                                            ,AZE ,28191.2009000,,1972
Burundi                                                               ,BDI ,2278.5152000,69.1394017,1972
Bélgica                                                               ,BEL ,166246.8134000,3831.6318810,1972
Benin                                                                 ,BEN ,34261.8663000,134.8194079,1972
Burkina Faso                                                          ,BFA ,7047.8249000,99.3267640,1972
Bangladesh                                                            ,BGD ,109807.2650000,94.3816785,1972
Bulgaria                                                              ,BGR ,91404.6820000,,1972
Bahrein                                                               ,BHR ,5904.0967790,,1972
Bahamas                                                               ,BHS ,0.0000000,3322.1638760,1972
Bosnia y Herzegovina                                                  ,BIH ,21772.1923000,,1972
Belarús                                                               ,BLR ,144373.6670000,,1972
Belice                                                                ,BLZ ,364.9830100,519.5635077,1972
Bermudas                                                              ,BMU ,463.2275560,4343.1734320,1972
Bolivia                                                               ,BOL ,149851.0600000,268.5841301,1972
Brasil                                                                ,BRA ,1138194.3370000,586.2144050,1972
Barbados                                                              ,BRB ,757.7430900,,1972
Brunei Darussalam                                                     ,BRN ,10230.9632000,1906.8774970,1972
Bhután                                                                ,BTN ,891.3918400,,1972
Botswana                                                              ,BWA ,7520.6740000,247.7290897,1972
República Centroafricana                                              ,CAF ,100023.8787000,123.3109153,1972
Canadá                                                                ,CAN ,497317.4780000,5089.5879250,1972
Europa Central y del Báltico                                          ,CEB ,1387156.8680000,,1972
Suiza                                                                 ,CHE ,52042.7768000,5714.3408970,1972
Islas del Canal                                                       ,CHI ,0.0000000,,1972
Islas Caimán                                                          ,CYM ,97.7316374,,1972
Chile                                                                 ,CHL ,45390.5725000,1173.2185050,1972
China                                                                 ,CHN ,1999689.0650000,131.8835612,1972
Côte d'Ivoire                                                         ,CIV ,113044.5350000,331.6692963,1972
Camerún                                                               ,CMR ,63454.4550000,208.3754538,1972
"Congo, República Democrática del                                      ",COD ,958870.9000000,292.2970840,1972
"Congo, República del                                                  ",COG ,44840.5315000,291.9750014,1972
Colombia                                                              ,COL ,123945.1605000,385.1125893,1972
Comoras                                                               ,COM ,208.5420200,,1972
Cabo Verde                                                            ,CPV ,202.1126470,,1972
Costa Rica                                                            ,CRI ,5580.3181000,636.9053799,1972
Estados pequeos del Caribe                                            ,CSS ,39057.3633000,925.5253179,1972
Cuba                                                                  ,CUB ,41208.0440000,901.3673042,1972
Chipre                                                                ,CYP ,3306.4369600,,1972
República Checa                                                       ,CZE ,213022.4530000,,1972
Alemania                                                              ,DEU ,1300781.1800000,3809.9814470,1972
Djibouti                                                              ,DJI ,1102.1635700,,1972
Dominica                                                              ,DMA ,58.5076770,,1972
Dinamarca                                                             ,DNK ,76756.8885000,4654.2989360,1972
República Dominicana                                                  ,DOM ,10802.2929000,417.9197003,1972
Argelia                                                               ,DZA ,53749.0748000,442.3518782,1972
Asia oriental y el Pacífico (excluido altos ingresos)                 ,EAP ,3802938.3110000,131.3951771,1972
inicial del dividendo demográfico                                     ,EAR ,4395680.9160000,252.8666329,1972
Asia oriental y el Pacífico                                           ,EAS ,5380452.0890000,414.5172646,1972
Europa y Asia central (excluido altos ingresos)                       ,ECA ,3855015.3180000,,1972
Europa y Asia central                                                 ,ECS ,9497811.5880000,1836.9158890,1972
Ecuador                                                               ,ECU ,13151.5483000,495.5357640,1972
"Egipto, República Árabe de                                            ",EGY ,59141.6510000,257.5887293,1972
Zona del Euro                                                         ,EMU ,3513379.2130000,3026.0713790,1972
Eritrea                                                               ,ERI ,2871.7766000,,1972
España                                                                ,ESP ,197677.1090000,1708.8086440,1972
Estonia                                                               ,EST ,66959.8239000,,1972
Etiopía                                                               ,ETH ,53622.4630000,,1972
Unión Europea                                                         ,EUU ,4796545.0120000,2533.8106790,1972
Frágiles y situaciones de conflicto afectados                         ,FCS ,2303370.0860000,156.3896086,1972
Finlandia                                                             ,FIN ,62873.6165500,3177.6455460,1972
Fiji                                                                  ,FJI ,1165.2772000,583.3176916,1972
Francia                                                               ,FRA ,650356.9400000,3854.5567840,1972
Islas Feroe                                                           ,FRO ,0.0000000,,1972
Micronesia (Estados Federados de)                                     ,FSM ,28.0332610,,1972
Gabón                                                                 ,GAB ,5009.8327200,703.7854219,1972
Reino Unido                                                           ,GBR ,822151.6800000,3030.4325140,1972
Georgia                                                               ,GEO ,52152.6990000,,1972
Ghana                                                                 ,GHA ,21298.0280000,228.8599560,1972
Gibraltar                                                             ,GIB ,0.0000000,,1972
Guinea                                                                ,GIN ,47612.4290000,,1972
Gambia                                                                ,GMB ,815.6312500,120.1430164,1972
Guinea-Bissau                                                         ,GNB ,921.9560000,119.7270646,1972
Guinea Ecuatorial                                                     ,GNQ ,123.9398220,226.0068125,1972
Grecia                                                                ,GRC ,50556.2472000,1899.6752730,1972
Granada                                                               ,GRD ,68.4027100,,1972
Groenlandia                                                           ,GRL ,0.0000000,2196.7117110,1972
Guatemala                                                             ,GTM ,9696.0899000,367.1188811,1972
Guam                                                                  ,GUM ,39.9465060,,1972
Guyana                                                                ,GUY ,12405.8537000,395.2929468,1972
Ingreso alto                                                          ,HIC ,13808945.4700000,3444.3469790,1972
"Hong Kong, Región Administrativa Especial                             ",HKG ,10756.1985300,1384.7384370,1972
Honduras                                                              ,HND ,7599.6258000,278.6150127,1972
Países pobres muy endeudados (PPME)                                   ,HPC ,2088935.6780000,171.4682248,1972
Croacia                                                               ,HRV ,26950.1670000,,1972
Haití                                                                 ,HTI ,4739.7634000,76.9018955,1972
Hungría                                                               ,HUN ,92174.3620000,,1972
Maldivas                                                              ,MDV ,22.2095869,,1972
Sólo BIRF                                                             ,IBD ,11316279.7700000,270.4051521,1972
BIRF y la AIF                                                         ,IBT ,14351285.8400000,251.9173178,1972
total de la AIF                                                       ,IDA ,3035006.0740000,164.9795754,1972
mezcla de la AIF                                                      ,IDB ,455912.6651000,199.9721026,1972
Indonesia                                                             ,IDN ,733432.9200000,90.8761730,1972
Sólo AIF                                                              ,IDX ,2579093.4090000,152.0003928,1972
Isla de Man                                                           ,IMN ,0.0000000,,1972
India                                                                 ,IND ,767242.3600000,122.9818639,1972
No clasificado                                                        ,INX ,0.0000000,,1972
Irlanda                                                               ,IRL ,50087.4180000,2082.9568330,1972
"Irán, República Islámica del                                          ",IRN ,167062.9280000,570.3505859,1972
Iraq                                                                  ,IRQ ,56661.6978000,388.1110241,1972
Islandia                                                              ,ISL ,5309.7154000,4020.8784540,1972
Israel                                                                ,ISR ,18338.8844000,2787.5635320,1972
Italia                                                                ,ITA ,416781.6244000,2671.1373080,1972
Jamaica                                                               ,JAM ,7832.3233000,968.9674228,1972
Jordania                                                              ,JOR ,2463.8971300,418.5784695,1972
Japón                                                                 ,JPN ,1009126.0800000,2967.0419960,1972
Kazajstán                                                             ,KAZ ,219119.6770000,,1972
Kenya                                                                 ,KEN ,23210.0360000,173.4947604,1972
Kirguistán                                                            ,KGZ ,17150.5211000,,1972
Camboya                                                               ,KHM ,16481.2145000,69.2333274,1972
Kiribati                                                              ,KIR ,0.0000000,358.7822460,1972
Saint Kitts y Nevis                                                   ,KNA ,75.8526390,517.7086894,1972
"Corea, República de                                                   ",KOR ,91340.2520000,324.1962768,1972
Kuwait                                                                ,KWT ,73477.7018000,5224.9294210,1972
América Latina y el Caribe (excluido altos ingresos)                  ,LAC ,2229058.9800000,694.1916003,1972
República Democrática Popular Lao                                     ,LAO ,18840.0037000,,1972
Líbano                                                                ,LBN ,6999.7795000,,1972
Liberia                                                               ,LBR ,1794.1521800,,1972
Libia                                                                 ,LBY ,44220.1655000,,1972
Santa Lucía                                                           ,LCA ,165.7715710,,1972
América Latina y el Caribe                                            ,LCN ,2318632.5280000,733.1928494,1972
Países menos desarrollados: clasificación de las Naciones Unidas      ,LDC ,2422534.9670000,,1972
Países de ingreso bajo                                                ,LIC ,1536165.3810000,164.4543849,1972
Liechtenstein                                                         ,LIE ,0.0000000,5640.4643140,1972
Sri Lanka                                                             ,LKA ,16356.4685000,196.4229330,1972
Mauritania                                                            ,MRT ,4462.6904000,321.7140220,1972
Países de ingreso mediano bajo                                        ,LMC ,3492375.3670000,159.8218190,1972
Ingreso mediano y bajo                                                ,LMY ,13699936.9900000,244.3757792,1972
Lesotho                                                               ,LSO ,1615.7307000,75.1241366,1972
avanzada del dividendo demográfico                                    ,LTE ,7662193.5420000,313.7048096,1972
