countryname,countrycode,co2,gdp,anio
Afganistán                                                            ,AFG ,14746.8510000,197.4455076,1976
Angola                                                                ,AGO ,38448.0240900,,1976
Albania                                                               ,ALB ,8470.9784000,,1976
Andorra                                                               ,AND ,0.0000000,7152.3751340,1976
El mundo árabe                                                        ,ARB ,775863.7295000,1007.1432860,1976
Emiratos Árabes Unidos                                                ,ARE ,70352.6192000,30118.1377800,1976
Argentina                                                             ,ARG ,247051.6600000,1948.2246860,1976
Armenia                                                               ,ARM ,11929.3886000,,1976
Samoa Americana                                                       ,ASM ,14.3835222,,1976
Antigua y Barbuda                                                     ,ATG ,0.0000000,,1976
Australia                                                             ,AUS ,407572.6060000,7476.7487480,1976
Austria                                                               ,AUT ,78085.0250000,5678.3866380,1976
Curacao                                                               ,CUW ,0.0000000,,1976
Azerbaiyán                                                            ,AZE ,42787.0728000,,1976
Burundi                                                               ,BDI ,2459.1071000,118.9149015,1976
Bélgica                                                               ,BEL ,162850.5520000,7243.0473620,1976
Benin                                                                 ,BEN ,32261.4622000,208.6561538,1976
Burkina Faso                                                          ,BFA ,7107.4493000,155.6489980,1976
Bangladesh                                                            ,BGD ,113276.5900000,141.1971688,1976
Bulgaria                                                              ,BGR ,101830.8700000,,1976
Bahrein                                                               ,BHR ,8567.6031650,,1976
Bahamas                                                               ,BHS ,0.0000000,3328.5124070,1976
Bosnia y Herzegovina                                                  ,BIH ,20405.8258000,,1976
Belarús                                                               ,BLR ,170915.4680000,,1976
Belice                                                                ,BLZ ,391.3054200,717.0401829,1976
Bermudas                                                              ,BMU ,0.0000000,7261.2781950,1976
Bolivia                                                               ,BOL ,177016.0540000,534.2734949,1976
Brasil                                                                ,BRA ,1384864.3460000,1390.6249750,1976
Barbados                                                              ,BRB ,802.6885700,1760.6672050,1976
Brunei Darussalam                                                     ,BRN ,11459.7232000,8461.4870680,1976
Bhután                                                                ,BTN ,944.8013100,,1976
Botswana                                                              ,BWA ,9115.4170000,483.1432021,1976
República Centroafricana                                              ,CAF ,91112.8636700,225.9135139,1976
Canadá                                                                ,CAN ,580939.2300000,8809.2646390,1976
Europa Central y del Báltico                                          ,CEB ,1582637.1400000,,1976
Suiza                                                                 ,CHE ,50861.3764000,10550.3008900,1976
Islas del Canal                                                       ,CHI ,0.0000000,,1976
Islas Caimán                                                          ,CYM ,94.5219068,,1976
Chile                                                                 ,CHL ,42287.4344000,961.4244253,1976
China                                                                 ,CHN ,2327790.4000000,165.4055404,1976
Côte d'Ivoire                                                         ,CIV ,107172.4460000,694.3831437,1976
Camerún                                                               ,CMR ,60473.6110000,401.4130294,1976
"Congo, República Democrática del                                      ",COD ,927528.1100000,409.5243296,1976
"Congo, República del                                                  ",COG ,44830.1969000,476.8513829,1976
Colombia                                                              ,COL ,145348.0034000,623.4286904,1976
Comoras                                                               ,COM ,232.3976300,,1976
Cabo Verde                                                            ,CPV ,231.6975890,,1976
Costa Rica                                                            ,CRI ,6584.7792000,1122.8097220,1976
Estados pequeos del Caribe                                            ,CSS ,34476.8041800,1511.8703260,1976
Cuba                                                                  ,CUB ,51086.2070000,1443.3021310,1976
Chipre                                                                ,CYP ,3108.5780900,1157.4116480,1976
República Checa                                                       ,CZE ,208258.0570000,,1976
Alemania                                                              ,DEU ,1336497.0600000,6634.8568990,1976
Djibouti                                                              ,DJI ,1309.7286500,,1976
Dominica                                                              ,DMA ,67.4018170,,1976
Dinamarca                                                             ,DNK ,77771.4084000,8787.5897220,1976
República Dominicana                                                  ,DOM ,12864.1919000,748.9901948,1976
Argelia                                                               ,DZA ,68739.1219000,1037.6070380,1976
Asia oriental y el Pacífico (excluido altos ingresos)                 ,EAP ,3773263.7570000,196.1582894,1976
inicial del dividendo demográfico                                     ,EAR ,4495675.3490000,480.5858411,1976
