countryname,countrycode,co2,gdp,anio
Afganistán                                                            ,AFG ,13530.9530000,,2000
Angola                                                                ,AGO ,34780.6811000,556.8363181,2000
Albania                                                               ,ALB ,8389.2767000,1126.6833180,2000
Andorra                                                               ,AND ,0.0000000,21854.2468000,2000
El mundo árabe                                                        ,ARB ,1850378.1590000,2606.0765820,2000
Emiratos Árabes Unidos                                                ,ARE ,115420.5144000,33291.4193700,2000
Argentina                                                             ,ARG ,331450.8700000,7708.1009960,2000
Armenia                                                               ,ARM ,6867.7102000,622.7421391,2000
Samoa Americana                                                       ,ASM ,47.6560330,,2000
Antigua y Barbuda                                                     ,ATG ,398.6942590,10920.8426900,2000
Australia                                                             ,AUS ,1081244.4100000,21679.2478400,2000
Austria                                                               ,AUT ,82686.7480000,24564.4582900,2000
Curacao                                                               ,CUW ,0.0000000,,2000
Azerbaiyán                                                            ,AZE ,42646.5596000,655.0974326,2000
Burundi                                                               ,BDI ,3398.8732000,136.4639708,2000
Bélgica                                                               ,BEL ,147051.2000000,23041.5347300,2000
Benin                                                                 ,BEN ,40254.0080000,511.4002270,2000
Burkina Faso                                                          ,BFA ,46470.1000000,254.7175291,2000
Bangladesh                                                            ,BGD ,136012.9000000,418.0689683,2000
Bulgaria                                                              ,BGR ,66195.0880000,1621.2429610,2000
Bahrein                                                               ,BHR ,0.0000000,13636.3962300,2000
Bahamas                                                               ,BHS ,3185.2221100,27097.6108100,2000
Bosnia y Herzegovina                                                  ,BIH ,22492.9083000,1467.7764770,2000
Belarús                                                               ,BLR ,83387.5450000,1276.2880340,2000
Belice                                                                ,BLZ ,1676.4715100,3364.3329360,2000
Bermudas                                                              ,BMU ,518.9713470,56284.1686500,2000
Bolivia                                                               ,BOL ,91400.9320000,997.5824599,2000
Brasil                                                                ,BRA ,1222630.4300000,3749.7532500,2000
Barbados                                                              ,BRB ,1313.9472800,11268.2540600,2000
Brunei Darussalam                                                     ,BRN ,9649.3964000,18012.5562600,2000
Bhután                                                                ,BTN ,2309.7619600,718.1878307,2000
Botswana                                                              ,BWA ,39682.4972000,3522.3086780,2000
República Centroafricana                                              ,CAF ,499622.0580000,251.2068774,2000
Canadá                                                                ,CAN ,760643.0000000,24190.2496200,2000
Europa Central y del Báltico                                          ,CEB ,978162.1891000,3942.4381800,2000
Suiza                                                                 ,CHE ,53063.2151000,37868.3230600,2000
Islas del Canal                                                       ,CHI ,0.0000000,43381.6578400,2000
Islas Caimán                                                          ,CYM ,0.0000000,,2000
Chile                                                                 ,CHL ,90384.5830000,5074.9016240,2000
China                                                                 ,CHN ,5082325.6000000,959.3724836,2000
Côte d'Ivoire                                                         ,CIV ,29442.7420000,651.3059068,2000
Camerún                                                               ,CMR ,163101.0390000,649.9918454,2000
"Congo, República Democrática del                                      ",COD ,861822.7100000,405.2162530,2000
"Congo, República del                                                  ",COG ,28435.4010000,1029.5770370,2000
Colombia                                                              ,COL ,164520.4250000,2520.4808980,2000
Comoras                                                               ,COM ,365.9031100,645.8186908,2000
Cabo Verde                                                            ,CPV ,333.3550200,1259.3236560,2000
Costa Rica                                                            ,CRI ,9851.2703000,3772.8700120,2000
Estados pequeos del Caribe                                            ,CSS ,51194.8862700,5252.8097350,2000
Cuba                                                                  ,CUB ,46257.5400000,2747.0985750,2000
Chipre                                                                ,CYP ,7952.7481900,14388.3480600,2000
República Checa                                                       ,CZE ,162021.1920000,6011.6152200,2000
Alemania                                                              ,DEU ,1016295.5450000,23635.9292200,2000
Djibouti                                                              ,DJI ,1969.1694000,768.1760767,2000
Dominica                                                              ,DMA ,140.8697800,4787.7801710,2000
Dinamarca                                                             ,DNK ,68553.5460000,30743.5476800,2000
República Dominicana                                                  ,DOM ,28492.2016000,2869.1058610,2000
Argelia                                                               ,DZA ,133778.1970000,1764.9738300,2000
Asia oriental y el Pacífico (excluido altos ingresos)                 ,EAP ,6883003.1590000,956.6720981,2000
