countryname,countrycode,co2,gdp,anio
Afganistán                                                            ,AFG ,17791.3299000,543.3030419,2010
Angola                                                                ,AGO ,40029.3921000,3587.8837980,2010
Albania                                                               ,ALB ,8506.9960340,4094.3503340,2010
Andorra                                                               ,AND ,0.0000000,40852.6667800,2010
El mundo árabe                                                        ,ARB ,1924244.9730000,5934.2906840,2010
Emiratos Árabes Unidos                                                ,ARE ,193127.1576000,33893.3035100,2010
Argentina                                                             ,ARG ,364684.2538000,10385.9644300,2010
Armenia                                                               ,ARM ,11393.0393500,3218.3727070,2010
Samoa Americana                                                       ,ASM ,56.6374866,10271.2245200,2010
Antigua y Barbuda                                                     ,ATG ,0.0000000,13049.2570500,2010
Australia                                                             ,AUS ,782102.6922000,52022.1256000,2010
Austria                                                               ,AUT ,94172.3509400,46858.0432700,2010
Curacao                                                               ,CUW ,0.0000000,,2010
Azerbaiyán                                                            ,AZE ,50724.5696400,5842.8057840,2010
Burundi                                                               ,BDI ,6040.9823700,234.2356469,2010
Bélgica                                                               ,BEL ,138029.4109000,44141.8781400,2010
Benin                                                                 ,BEN ,33029.8223500,1036.5339520,2010
Burkina Faso                                                          ,BFA ,43405.9091900,647.8358465,2010
Bangladesh                                                            ,BGD ,177504.4736000,781.1535936,2010
Bulgaria                                                              ,BGR ,67945.3135000,6809.8989840,2010
Bahrein                                                               ,BHR ,30921.9708400,20722.1372900,2010
Bahamas                                                               ,BHS ,4570.3575530,28443.4076600,2010
Bosnia y Herzegovina                                                  ,BIH ,25619.3313200,4635.5177790,2010
Belarús                                                               ,BLR ,108204.5472000,6029.3968000,2010
Belice                                                                ,BLZ ,1498.8784500,4270.8643450,2010
Bermudas                                                              ,BMU ,594.6515718,88207.3275600,2010
Bolivia                                                               ,BOL ,102900.5156000,1955.4615570,2010
Brasil                                                                ,BRA ,2902242.6180000,11286.2430200,2010
Barbados                                                              ,BRB ,0.0000000,16056.3709800,2010
Brunei Darussalam                                                     ,BRN ,14123.5980800,35269.5531100,2010
Bhután                                                                ,BTN ,3220.4003800,2258.1831410,2010
