countryname,countrycode,co2,gdp,anio
Afganistán                                                            ,AFG ,14654.3740000,211.3821169,2004
Angola                                                                ,AGO ,36860.2334000,1255.5640450,2004
Albania                                                               ,ALB ,7401.1015500,2373.5798440,2004
Andorra                                                               ,AND ,0.0000000,37969.1749900,2004
El mundo árabe                                                        ,ARB ,1660586.9490000,3134.6735340,2004
Emiratos Árabes Unidos                                                ,ARE ,139999.4635000,36333.2498400,2004
Argentina                                                             ,ARG ,369944.1100000,4277.7213510,2004
Armenia                                                               ,ARM ,7633.4710000,1191.9190200,2004
Samoa Americana                                                       ,ASM ,52.3203850,8578.9447230,2004
Antigua y Barbuda                                                     ,ATG ,449.0024940,11446.6384700,2004
Australia                                                             ,AUS ,1144343.8700000,30430.6764400,2004
Austria                                                               ,AUT ,96330.9070300,36821.5214700,2004
Curacao                                                               ,CUW ,0.0000000,,2004
Azerbaiyán                                                            ,AZE ,45005.7333000,1045.0093790,2004
Burundi                                                               ,BDI ,5370.4398000,128.3366128,2004
Bélgica                                                               ,BEL ,141187.9930000,35364.3753300,2004
Benin                                                                 ,BEN ,31729.0300000,797.3126800,2004
Burkina Faso                                                          ,BFA ,43284.4100000,417.6270637,2004
Bangladesh                                                            ,BGD ,147368.1700000,475.2919198,2004
Bulgaria                                                              ,BGR ,68865.6590000,3389.7070490,2004
Bahrein                                                               ,BHR ,21451.1229800,15846.5441400,2004
Bahamas                                                               ,BHS ,3731.9684500,28395.9246600,2004
Bosnia y Herzegovina                                                  ,BIH ,20000.8367000,2814.9998950,2004
Belarús                                                               ,BLR ,85627.1607000,2378.6232860,2004
Belice                                                                ,BLZ ,1146.0880500,3802.2958080,2004
Bermudas                                                              ,BMU ,591.9675140,70359.3191100,2004
Bolivia                                                               ,BOL ,252571.2890000,967.4069920,2004
Brasil                                                                ,BRA ,1967427.3900000,3637.4623890,2004
Barbados                                                              ,BRB ,0.0000000,12512.5325100,2004
Brunei Darussalam                                                     ,BRN ,10320.0957000,21902.0880500,2004
Bhután                                                                ,BTN ,1623.2420900,1068.4217760,2004
Botswana                                                              ,BWA ,23886.7099000,5073.5376500,2004
República Centroafricana                                              ,CAF ,345419.4350000,320.7374603,2004
Canadá                                                                ,CAN ,1040136.7700000,32034.3077400,2004
Europa Central y del Báltico                                          ,CEB ,1004284.1830000,7164.8032830,2004
Suiza                                                                 ,CHE ,55222.5605000,53340.1476600,2004
Islas del Canal                                                       ,CHI ,0.0000000,56753.3862000,2004
Islas Caimán                                                          ,CYM ,0.0000000,,2004
Chile                                                                 ,CHL ,99878.5050000,6194.8531070,2004
China                                                                 ,CHN ,7116642.4000000,1508.6680980,2004
Côte d'Ivoire                                                         ,CIV ,22931.7350000,921.2012673,2004
Camerún                                                               ,CMR ,97585.6790000,1009.9431200,2004
"Congo, República Democrática del                                      ",COD ,816309.4300000,194.0399624,2004
"Congo, República del                                                  ",COG ,34296.3300000,1324.2191420,2004
Colombia                                                              ,COL ,174608.7110000,2782.6230500,2004
Comoras                                                               ,COM ,389.6349000,1059.1768840,2004
Cabo Verde                                                            ,CPV ,335.5899500,2024.2752480,2004
Costa Rica                                                            ,CRI ,10571.6665000,4385.3907190,2004
Estados pequeos del Caribe                                            ,CSS ,66805.1210600,6459.3685020,2004
Cuba                                                                  ,CUB ,48579.2170000,3395.7120500,2004
Chipre                                                                ,CYP ,8725.2990100,23792.6213600,2004
República Checa                                                       ,CZE ,152079.8893000,11685.8872400,2004
Alemania                                                              ,DEU ,1016628.7900000,34044.0536300,2004
Djibouti                                                              ,DJI ,2115.8977200,863.2316123,2004
Dominica                                                              ,DMA ,175.0505830,5217.2304160,2004
Dinamarca                                                             ,DNK ,68854.7554100,46511.5983300,2004
República Dominicana                                                  ,DOM ,28493.9958000,2528.5771990,2004
Argelia                                                               ,DZA ,139846.6840000,2609.9456080,2004
Asia oriental y el Pacífico (excluido altos ingresos)                 ,EAP ,9934549.2580000,1428.0577280,2004
inicial del dividendo demográfico                                     ,EAR ,8816806.1700000,1552.3363060,2004
Asia oriental y el Pacífico                                           ,EAS ,13535114.7700000,4574.6332680,2004
Europa y Asia central (excluido altos ingresos)                       ,ECA ,4029067.2790000,3381.5302030,2004
