countryname,countrycode,co2,gdp,anio
Afganistán                                                            ,AFG ,14812.3660000,,1999
Angola                                                                ,AGO ,36119.4252000,387.7843160,1999
Albania                                                               ,ALB ,6493.4872000,1033.2416930,1999
Andorra                                                               ,AND ,0.0000000,19261.7105000,1999
El mundo árabe                                                        ,ARB ,1790897.0140000,2332.7981040,1999
Emiratos Árabes Unidos                                                ,ARE ,107207.9329000,28470.8378600,1999
Argentina                                                             ,ARG ,333886.5900000,7774.7362030,1999
Armenia                                                               ,ARM ,6389.0077000,597.4325147,1999
Samoa Americana                                                       ,ASM ,31.1356780,,1999
Antigua y Barbuda                                                     ,ATG ,404.0987980,10260.5850200,1999
Australia                                                             ,AUS ,1190138.3800000,20533.0350600,1999
Austria                                                               ,AUT ,83880.5300000,27174.2971600,1999
Curacao                                                               ,CUW ,0.0000000,,1999
Azerbaiyán                                                            ,AZE ,40457.6469000,573.8932966,1999
Burundi                                                               ,BDI ,2767.7285000,128.9390833,1999
Bélgica                                                               ,BEL ,147499.8000000,25244.2750500,1999
Benin                                                                 ,BEN ,43491.0260000,551.6193869,1999
Burkina Faso                                                          ,BFA ,41428.1000000,298.2281740,1999
Bangladesh                                                            ,BGD ,138323.9000000,409.5431969,1999
Bulgaria                                                              ,BGR ,65864.3840000,1659.7183460,1999
Bahrein                                                               ,BHR ,18047.9454600,10401.5458100,1999
Bahamas                                                               ,BHS ,3580.4970000,26130.1018200,1999
Bosnia y Herzegovina                                                  ,BIH ,15369.2984000,1251.7472610,1999
Belarús                                                               ,BLR ,87514.8000000,1210.6117200,1999
Belice                                                                ,BLZ ,1143.6771000,3065.9796730,1999
Bermudas                                                              ,BMU ,492.0337950,54245.4597400,1999
Bolivia                                                               ,BOL ,225873.9160000,1003.3922310,1999
Brasil                                                                ,BRA ,1595863.2600000,3478.3727300,1999
Barbados                                                              ,BRB ,1310.1545000,10914.4436700,1999
Brunei Darussalam                                                     ,BRN ,9479.8213000,14101.3457600,1999
Bhután                                                                ,BTN ,3857.5667000,725.1247411,1999
Botswana                                                              ,BWA ,34724.2123000,3405.8125980,1999
República Centroafricana                                              ,CAF ,437192.1240000,280.9088190,1999
Canadá                                                                ,CAN ,821594.2600000,22238.6645400,1999
Europa Central y del Báltico                                          ,CEB ,950433.9663000,3979.9473030,1999
Suiza                                                                 ,CHE ,54250.6206000,40581.3070500,1999
Islas del Canal                                                       ,CHI ,0.0000000,42443.4323300,1999
Islas Caimán                                                          ,CYM ,0.0000000,,1999
Chile                                                                 ,CHL ,97091.0540000,4957.7778840,1999
China                                                                 ,CHN ,5079293.7000000,873.2870617,1999
Côte d'Ivoire                                                         ,CIV ,24317.1640000,771.9684060,1999
Camerún                                                               ,CMR ,134749.2510000,740.9965643,1999
"Congo, República Democrática del                                      ",COD ,824119.4000000,102.5979776,1999
"Congo, República del                                                  ",COG ,27868.5794000,774.7116899,1999
Colombia                                                              ,COL ,149560.7670000,2209.9314800,1999
Comoras                                                               ,COM ,355.4675000,723.1850928,1999
Cabo Verde                                                            ,CPV ,274.2389200,1408.9996080,1999
Costa Rica                                                            ,CRI ,10338.5536000,3653.5527190,1999
Estados pequeos del Caribe                                            ,CSS ,49174.5968500,4933.0274600,1999
Cuba                                                                  ,CUB ,45832.2420000,2558.9047940,1999
Chipre                                                                ,CYP ,7572.9548800,15287.9191300,1999
República Checa                                                       ,CZE ,142384.4280000,6307.6980040,1999
Alemania                                                              ,DEU ,1020391.2570000,26725.9152200,1999
Djibouti                                                              ,DJI ,1971.9355600,765.8561350,1999
Dominica                                                              ,DMA ,145.4397870,4750.6121570,1999
Dinamarca                                                             ,DNK ,72949.8129800,33440.7948100,1999
República Dominicana                                                  ,DOM ,27056.2282000,2653.3440120,1999
Argelia                                                               ,DZA ,132794.4150000,1588.3475030,1999
Asia oriental y el Pacífico (excluido altos ingresos)                 ,EAP ,7211443.6410000,876.4174640,1999
inicial del dividendo demográfico                                     ,EAR ,8164837.7480000,1251.1198980,1999
Asia oriental y el Pacífico                                           ,EAS ,10659804.2300000,3779.7013460,1999
Europa y Asia central (excluido altos ingresos)                       ,ECA ,3964092.7560000,1604.1210890,1999
Europa y Asia central                                                 ,ECS ,9091970.7610000,12388.7077600,1999
Ecuador                                                               ,ECU ,37373.9140000,1578.9335360,1999
"Egipto, República Árabe de                                            ",EGY ,177970.0450000,1343.5519630,1999
Zona del Euro                                                         ,EMU ,3403319.5230000,22213.1812800,1999
Eritrea                                                               ,ERI ,4939.4130000,307.9108725,1999
España                                                                ,ESP ,363569.6040000,15715.3322700,1999
Estonia                                                               ,EST ,18098.9796000,4144.6308170,1999
Etiopía                                                               ,ETH ,217793.9940000,119.6840670,1999
Unión Europea                                                         ,EUU ,4381870.2500000,18475.6510900,1999
Frágiles y situaciones de conflicto afectados                         ,FCS ,3881474.7910000,711.4810616,1999
Finlandia                                                             ,FIN ,76491.3260000,26177.3479800,1999
Fiji                                                                  ,FJI ,2090.7985000,2408.7359210,1999
Francia                                                               ,FRA ,563699.0270000,24673.1989700,1999
Islas Feroe                                                           ,FRO ,0.0000000,24125.2558800,1999
Micronesia (Estados Federados de)                                     ,FSM ,0.0000000,2042.4796580,1999
Gabón                                                                 ,GAB ,35739.9532000,3888.8989270,1999
Reino Unido                                                           ,GBR ,680102.4780000,28669.5396900,1999
Georgia                                                               ,GEO ,10982.3658000,673.5378927,1999
Ghana                                                                 ,GHA ,94526.3990000,410.3342297,1999
Gibraltar                                                             ,GIB ,346.9402410,,1999
Guinea                                                                ,GIN ,89859.9830000,429.7197680,1999
Gambia                                                                ,GMB ,2714.8476000,637.9315702,1999
Guinea-Bissau                                                         ,GNB ,8396.1748000,190.6726301,1999
Guinea Ecuatorial                                                     ,GNQ ,3782.6391300,1067.6347790,1999
Grecia                                                                ,GRC ,109857.7520000,13245.1894600,1999
Granada                                                               ,GRD ,221.8278620,4705.6522410,1999
Groenlandia                                                           ,GRL ,0.0000000,20170.4384200,1999
Guatemala                                                             ,GTM ,23117.7440000,1619.5107360,1999
Guam                                                                  ,GUM ,68.2443397,,1999
Guyana                                                                ,GUY ,4579.5937000,926.7428086,1999
