countryname,countrycode,co2,gdp,anio
Afganistán                                                            ,AFG ,14574.1640000,186.5108971,1975
Angola                                                                ,AGO ,44429.3000300,,1975
Albania                                                               ,ALB ,7873.0370000,,1975
Andorra                                                               ,AND ,0.0000000,7169.1010060,1975
El mundo árabe                                                        ,ARB ,683966.2354000,836.2108098,1975
Emiratos Árabes Unidos                                                ,ARE ,57798.6034200,26847.7943800,1975
Argentina                                                             ,ARG ,233416.7700000,2027.3371240,1975
Armenia                                                               ,ARM ,11627.0380000,,1975
Samoa Americana                                                       ,ASM ,14.1928730,,1975
Antigua y Barbuda                                                     ,ATG ,0.0000000,,1975
Australia                                                             ,AUS ,377568.6540000,6994.2099270,1975
Austria                                                               ,AUT ,72742.0550000,5285.6207240,1975
Curacao                                                               ,CUW ,0.0000000,,1975
Azerbaiyán                                                            ,AZE ,41477.2724000,,1975
Burundi                                                               ,BDI ,2443.1382000,113.7531254,1975
Bélgica                                                               ,BEL ,153063.5390000,6701.3773160,1975
Benin                                                                 ,BEN ,31603.4797000,207.3004397,1975
Burkina Faso                                                          ,BFA ,6871.1208000,152.7282201,1975
Bangladesh                                                            ,BGD ,115099.3040000,277.5706409,1975
Bulgaria                                                              ,BGR ,100951.5760000,,1975
Bahrein                                                               ,BHR ,7965.1794890,,1975
Bahamas                                                               ,BHS ,0.0000000,3156.2341180,1975
Bosnia y Herzegovina                                                  ,BIH ,21844.8340000,,1975
Belarús                                                               ,BLR ,168141.9680000,,1975
Belice                                                                ,BLZ ,423.7650100,885.9845291,1975
Bermudas                                                              ,BMU ,552.5025230,6509.4339620,1975
Bolivia                                                               ,BOL ,152794.2100000,480.8030783,1975
Brasil                                                                ,BRA ,1214606.7430000,1153.8309580,1975
Barbados                                                              ,BRB ,840.4378100,1633.8495620,1975
Brunei Darussalam                                                     ,BRN ,10589.5813100,7228.4428600,1975
Bhután                                                                ,BTN ,930.8720700,,1975
Botswana                                                              ,BWA ,9262.9580000,479.0854770,1975
República Centroafricana                                              ,CAF ,87138.5100000,193.3549821,1975
Canadá                                                                ,CAN ,529890.8700000,7511.2113470,1975
Europa Central y del Báltico                                          ,CEB ,1529645.5230000,,1975
Suiza                                                                 ,CHE ,49342.8597000,10028.9871900,1975
Islas del Canal                                                       ,CHI ,0.0000000,,1975
Islas Caimán                                                          ,CYM ,112.4404142,,1975
Chile                                                                 ,CHL ,41649.4352000,719.5993613,1975
China                                                                 ,CHN ,2264422.9200000,178.3418196,1975
Côte d'Ivoire                                                         ,CIV ,104296.1660000,607.2355699,1975
Camerún                                                               ,CMR ,58835.2890000,369.4472009,1975
"Congo, República Democrática del                                      ",COD ,1049438.3800000,446.9756574,1975
"Congo, República del                                                  ",COG ,49672.9410000,499.2032553,1975
Colombia                                                              ,COL ,134068.4672000,544.2907935,1975
Comoras                                                               ,COM ,223.5851100,,1975
Cabo Verde                                                            ,CPV ,224.2702650,,1975
Costa Rica                                                            ,CRI ,6490.8211000,936.3359286,1975
Estados pequeos del Caribe                                            ,CSS ,34072.7940500,1485.1673380,1975
Cuba                                                                  ,CUB ,49933.4100000,1379.0816950,1975
Chipre                                                                ,CYP ,2638.6324600,976.3342448,1975
República Checa                                                       ,CZE ,202860.8010000,,1975
Alemania                                                              ,DEU ,1273609.6600000,6236.3588850,1975
Djibouti                                                              ,DJI ,1251.0546400,,1975
Dominica                                                              ,DMA ,68.1318700,,1975
Dinamarca                                                             ,DNK ,73348.6972000,7999.1126670,1975
República Dominicana                                                  ,DOM ,12412.0042000,699.6023237,1975
Argelia                                                               ,DZA ,55999.4944000,936.7900258,1975
Asia oriental y el Pacífico (excluido altos ingresos)                 ,EAP ,3557799.3660000,196.6780314,1975
inicial del dividendo demográfico                                     ,EAR ,4131090.2020000,451.4571656,1975
Asia oriental y el Pacífico                                           ,EAS ,5258477.9210000,647.0466840,1975
Europa y Asia central (excluido altos ingresos)                       ,ECA ,4242816.2590000,,1975
Europa y Asia central                                                 ,ECS ,9990060.0310000,3015.5723390,1975
Ecuador                                                               ,ECU ,16944.7733000,1105.4200810,1975
"Egipto, República Árabe de                                            ",EGY ,64845.8980000,301.7493585,1975
Zona del Euro                                                         ,EMU ,3522917.7810000,5077.5773070,1975
Eritrea                                                               ,ERI ,2805.2327000,,1975
España                                                                ,ESP ,230871.7570000,3209.8374210,1975
Estonia                                                               ,EST ,70829.7248000,,1975
Etiopía                                                               ,ETH ,50931.5920000,,1975
Unión Europea                                                         ,EUU ,4922983.1130000,4246.2316440,1975
Frágiles y situaciones de conflicto afectados                         ,FCS ,2281850.9490000,296.3102596,1975
Finlandia                                                             ,FIN ,64026.7865000,6255.5447440,1975
Fiji                                                                  ,FJI ,1327.9592200,1186.6760790,1975
