countryname,countrycode,co2,gdp,anio
Afganistán                                                            ,AFG ,12348.9570000,,1989
Angola                                                                ,AGO ,39342.9861800,890.5541365,1989
Albania                                                               ,ALB ,12552.7369000,697.9955966,1989
Andorra                                                               ,AND ,0.0000000,15166.4378500,1989
El mundo árabe                                                        ,ARB ,841210.9419000,1505.5091990,1989
Emiratos Árabes Unidos                                                ,ARE ,71801.9130000,24028.1928800,1989
Argentina                                                             ,ARG ,265608.3000000,2383.8676930,1989
Armenia                                                               ,ARM ,17459.8322000,,1989
Samoa Americana                                                       ,ASM ,20.7495349,,1989
Antigua y Barbuda                                                     ,ATG ,370.5113610,7076.4222120,1989
Australia                                                             ,AUS ,460970.0080000,17798.3142400,1989
Austria                                                               ,AUT ,74506.9330000,17468.9461900,1989
Curacao                                                               ,CUW ,0.0000000,,1989
Azerbaiyán                                                            ,AZE ,64809.4770000,,1989
Burundi                                                               ,BDI ,2667.0900000,209.8944126,1989
Bélgica                                                               ,BEL ,137954.5840000,16525.0617800,1989
Benin                                                                 ,BEN ,37911.0810000,311.6783039,1989
Burkina Faso                                                          ,BFA ,11103.1900000,304.8534388,1989
Bangladesh                                                            ,BGD ,126358.6380000,285.8292140,1989
Bulgaria                                                              ,BGR ,116317.9000000,2477.0208180,1989
Bahrein                                                               ,BHR ,16281.2151500,8030.9046590,1989
Bahamas                                                               ,BHS ,3551.7677200,12163.6813600,1989
Bosnia y Herzegovina                                                  ,BIH ,27334.0633000,,1989
Belarús                                                               ,BLR ,182769.2830000,,1989
Belice                                                                ,BLZ ,534.7132400,2011.9687290,1989
Bermudas                                                              ,BMU ,932.1647850,25517.9217200,1989
Bolivia                                                               ,BOL ,168428.2090000,701.6661474,1989
Brasil                                                                ,BRA ,1476408.9510000,2908.4961580,1989
Barbados                                                              ,BRB ,1199.4108800,7717.2961940,1989
Brunei Darussalam                                                     ,BRN ,13122.7976000,11872.6307300,1989
Bhután                                                                ,BTN ,1196.0630800,528.4584196,1989
Botswana                                                              ,BWA ,10055.7830000,2477.9753580,1989
República Centroafricana                                              ,CAF ,108384.5467000,449.3990594,1989
Canadá                                                                ,CAN ,794055.0400000,20715.6314800,1989
Europa Central y del Báltico                                          ,CEB ,1695101.7840000,,1989
Suiza                                                                 ,CHE ,54933.6688000,30401.8924800,1989
Islas del Canal                                                       ,CHI ,0.0000000,,1989
Islas Caimán                                                          ,CYM ,300.2609980,,1989
Chile                                                                 ,CHL ,51167.0240000,2288.5549410,1989
China                                                                 ,CHN ,3800686.2100000,310.8819124,1989
Côte d'Ivoire                                                         ,CIV ,123195.4500000,848.2898393,1989
Camerún                                                               ,CMR ,80396.6150000,974.9912797,1989
"Congo, República Democrática del                                      ",COD ,983441.9100000,269.5928920,1989
"Congo, República del                                                  ",COG ,47483.9180000,1042.0497350,1989
Colombia                                                              ,COL ,161638.5660000,1218.2109350,1989
Comoras                                                               ,COM ,280.4968600,854.4780299,1989
Cabo Verde                                                            ,CPV ,205.7988000,807.5648308,1989
Costa Rica                                                            ,CRI ,8421.8578000,1727.8720980,1989
Estados pequeos del Caribe                                            ,CSS ,39465.6834800,2827.6931620,1989
Cuba                                                                  ,CUB ,65695.2800000,2572.6904700,1989
Chipre                                                                ,CYP ,5077.2903400,8038.9142420,1989
República Checa                                                       ,CZE ,207518.6060000,,1989
Alemania                                                              ,DEU ,1278982.3200000,17764.3764400,1989
Djibouti                                                              ,DJI ,1878.4637500,725.7425321,1989
Dominica                                                              ,DMA ,132.4709100,2617.7798310,1989
Dinamarca                                                             ,DNK ,71996.5540000,21901.0547500,1989
República Dominicana                                                  ,DOM ,18031.1271000,955.5158728,1989
Argelia                                                               ,DZA ,110026.6790000,2215.8475580,1989
Asia oriental y el Pacífico (excluido altos ingresos)                 ,EAP ,6025212.6250000,391.5821911,1989
inicial del dividendo demográfico                                     ,EAR ,5774094.1560000,782.0280612,1989
Asia oriental y el Pacífico                                           ,EAS ,8223285.3050000,2526.0259230,1989
Europa y Asia central (excluido altos ingresos)                       ,ECA ,5285823.1810000,2326.4675970,1989
Europa y Asia central                                                 ,ECS ,11306247.0700000,8641.6976510,1989
Ecuador                                                               ,ECU ,29978.6490000,1390.2131140,1989
"Egipto, República Árabe de                                            ",EGY ,135711.2550000,725.6297363,1989
Zona del Euro                                                         ,EMU ,3760737.8180000,15086.9496200,1989
Eritrea                                                               ,ERI ,3255.0843000,,1989
España                                                                ,ESP ,288737.8880000,10681.9712000,1989
Estonia                                                               ,EST ,68716.2918000,,1989
Etiopía                                                               ,ETH ,61350.8870000,248.0227939,1989
Unión Europea                                                         ,EUU ,5220880.2880000,12396.7360000,1989
Frágiles y situaciones de conflicto afectados                         ,FCS ,2603248.9550000,437.1254263,1989
Finlandia                                                             ,FIN ,72671.0684400,23973.2394800,1989
Fiji                                                                  ,FJI ,2189.0437000,1632.2058660,1989
Francia                                                               ,FRA ,547917.6300000,17694.3053500,1989
Islas Feroe                                                           ,FRO ,0.0000000,,1989
Micronesia (Estados Federados de)                                     ,FSM ,45.7788740,1437.4262420,1989
Gabón                                                                 ,GAB ,10919.7801100,4532.1658590,1989
Reino Unido                                                           ,GBR ,775919.1300000,16239.2822000,1989
Georgia                                                               ,GEO ,46751.8640000,,1989
Ghana                                                                 ,GHA ,25116.8510000,365.8896572,1989
Gibraltar                                                             ,GIB ,146.7339220,,1989
Guinea                                                                ,GIN ,52367.1110000,394.3314534,1989
Gambia                                                                ,GMB ,1126.8224900,310.2979817,1989
Guinea-Bissau                                                         ,GNB ,1426.6742000,223.4695441,1989
Guinea Ecuatorial                                                     ,GNQ ,240.8317760,217.0723884,1989
Grecia                                                                ,GRC ,94856.8211000,7846.6781640,1989
Granada                                                               ,GRD ,114.8214500,2758.1160730,1989
Groenlandia                                                           ,GRL ,0.0000000,16813.6839500,1989
Guatemala                                                             ,GTM ,14620.0153000,955.1134609,1989
Guam                                                                  ,GUM ,59.5164813,,1989
Guyana                                                                ,GUY ,15417.4149000,509.3710170,1989
Ingreso alto                                                          ,HIC ,15576317.0400000,16538.2614200,1989
"Hong Kong, Región Administrativa Especial                             ",HKG ,36448.7020000,12097.7751600,1989
Honduras                                                              ,HND ,13829.8944000,1128.2826850,1989
Países pobres muy endeudados (PPME)                                   ,HPC ,2282973.6580000,387.9243171,1989
Croacia                                                               ,HRV ,43802.3660000,,1989
Haití                                                                 ,HTI ,5422.3852000,396.6861392,1989
Hungría                                                               ,HUN ,105948.0830000,,1989
Maldivas                                                              ,MDV ,0.0000000,875.4117511,1989
Sólo BIRF                                                             ,IBD ,16520907.5700000,884.9821969,1989
BIRF y la AIF                                                         ,IBT ,19953475.5800000,789.2269821,1989
total de la AIF                                                       ,IDA ,3432568.0040000,392.9217549,1989
mezcla de la AIF                                                      ,IDB ,645497.1986000,490.8926829,1989
Indonesia                                                             ,IDN ,888790.5100000,530.0032456,1989
Sólo AIF                                                              ,IDX ,2787070.8050000,342.9040424,1989
Isla de Man                                                           ,IMN ,0.0000000,,1989
India                                                                 ,IND ,1365390.7800000,346.1128873,1989
No clasificado                                                        ,INX ,0.0000000,,1989
Irlanda                                                               ,IRL ,63305.3030000,11189.2005900,1989
"Irán, República Islámica del                                          ",IRN ,240347.6970000,2197.9562280,1989
Iraq                                                                  ,IRQ ,106551.3320000,3862.4045090,1989
Islandia                                                              ,ISL ,20918.6128000,22468.0686600,1989
Israel                                                                ,ISR ,38388.3811000,11045.1445800,1989
Italia                                                                ,ITA ,517577.2850000,16386.6622200,1989
Jamaica                                                               ,JAM ,8263.0162000,1832.7589090,1989
Jordania                                                              ,JOR ,10833.7517000,1241.6991010,1989
Japón                                                                 ,JPN ,1216856.6510000,24813.2993800,1989
Kazajstán                                                             ,KAZ ,241646.2680000,,1989
Kenya                                                                 ,KEN ,38381.0690000,361.1546293,1989
Kirguistán                                                            ,KGZ ,16108.9077000,,1989
Camboya                                                               ,KHM ,17245.8924000,,1989
Kiribati                                                              ,KIR ,39.2876440,580.3525842,1989
Saint Kitts y Nevis                                                   ,KNA ,102.9377340,4770.7122430,1989
"Corea, República de                                                   ",KOR ,270117.8020000,5817.0291810,1989
Kuwait                                                                ,KWT ,62729.4837000,11617.1564200,1989
América Latina y el Caribe (excluido altos ingresos)                  ,LAC ,3063420.3300000,2248.0646970,1989
República Democrática Popular Lao                                     ,LAO ,18518.9987000,172.5232090,1989
Líbano                                                                ,LBN ,0.0000000,996.9039068,1989
Liberia                                                               ,LBR ,2156.4489100,,1989
Libia                                                                 ,LBY ,56625.0662000,,1989
Santa Lucía                                                           ,LCA ,291.5097800,3584.0182240,1989
América Latina y el Caribe                                            ,LCN ,3158259.0750000,2323.5812460,1989
Países menos desarrollados: clasificación de las Naciones Unidas      ,LDC ,2568461.6600000,317.3880668,1989
Países de ingreso bajo                                                ,LIC ,1758284.7410000,351.5143806,1989
Liechtenstein                                                         ,LIE ,0.0000000,39368.7270900,1989
Sri Lanka                                                             ,LKA ,17519.0258000,408.4508430,1989
Mauritania                                                            ,MRT ,5917.9002000,731.9480050,1989
Países de ingreso mediano bajo                                        ,LMC ,4757289.9710000,469.8145627,1989
Ingreso mediano y bajo                                                ,LMY ,19216518.3600000,767.9303913,1989
Lesotho                                                               ,LSO ,2023.3921000,297.2614225,1989
avanzada del dividendo demográfico                                    ,LTE ,11492449.9500000,1045.5596860,1989
Lituania                                                              ,LTU ,148595.8760000,,1989
Luxemburgo                                                            ,LUX ,12836.9195000,27556.3635900,1989
Letonia                                                               ,LVA ,72636.9050000,,1989
"Región Administrativa Especial de Macao, China                        ",MAC ,0.0000000,8063.0762630,1989
Isla de San Martín (parte francesa)                                   ,MAF ,0.0000000,,1989
Marruecos                                                             ,MAR ,36636.8880000,1071.1773430,1989
Mónaco                                                                ,MCO ,0.0000000,68592.9654100,1989
República de Moldova                                                  ,MDA ,56507.1414000,,1989
