countryname,countrycode,co2,gdp,anio
Afganistán                                                            ,AFG ,14770.2643000,242.0312849,2005
Angola                                                                ,AGO ,35855.7384000,1902.4223460,2005
Albania                                                               ,ALB ,8308.3856000,2673.7872830,2005
Andorra                                                               ,AND ,0.0000000,40066.2569200,2005
El mundo árabe                                                        ,ARB ,1767878.6450000,3765.8204960,2005
Emiratos Árabes Unidos                                                ,ARE ,143367.6627000,39365.4339000,2005
Argentina                                                             ,ARG ,358385.6400000,5109.8513250,2005
Armenia                                                               ,ARM ,8401.8162000,1643.7530290,2005
Samoa Americana                                                       ,ASM ,52.8011790,8444.9817000,2005
Antigua y Barbuda                                                     ,ATG ,454.0706170,12547.6130400,2005
Australia                                                             ,AUS ,909262.0300000,33999.2428600,2005
Austria                                                               ,AUT ,97552.8536900,38403.1338800,2005
Curacao                                                               ,CUW ,0.0000000,,2005
Azerbaiyán                                                            ,AZE ,47617.1667000,1578.4023900,2005
Burundi                                                               ,BDI ,5302.3078000,151.6814634,2005
Bélgica                                                               ,BEL ,136696.0390000,36795.9768800,2005
Benin                                                                 ,BEN ,48572.5105000,822.4578309,2005
Burkina Faso                                                          ,BFA ,47809.6970000,457.7515455,2005
Bangladesh                                                            ,BGD ,151091.7020000,499.4619402,2005
Bulgaria                                                              ,BGR ,68542.7723000,3899.9076380,2005
Bahrein                                                               ,BHR ,23432.3819200,17959.2554400,2005
Bahamas                                                               ,BHS ,3854.1118300,30278.3669200,2005
Bosnia y Herzegovina                                                  ,BIH ,20780.3563000,2980.6021090,2005
Belarús                                                               ,BLR ,89989.7232000,3125.8105350,2005
Belice                                                                ,BLZ ,2022.1841700,3883.1923890,2005
Bermudas                                                              ,BMU ,584.7563570,75882.0338600,2005
Bolivia                                                               ,BOL ,309458.3920000,1034.3112400,2005
Brasil                                                                ,BRA ,2386439.6800000,4790.4370880,2005
Barbados                                                              ,BRB ,0.0000000,13822.5916800,2005
Brunei Darussalam                                                     ,BRN ,10968.9560000,26105.2790300,2005
Bhután                                                                ,BTN ,1617.8644100,1228.4418240,2005
Botswana                                                              ,BWA ,24188.4610000,5520.1247200,2005
República Centroafricana                                              ,CAF ,455529.6830000,331.1629242,2005
Canadá                                                                ,CAN ,849798.7400000,36266.1871200,2005
Europa Central y del Báltico                                          ,CEB ,1001128.2170000,8347.8228400,2005
Suiza                                                                 ,CHE ,55882.8478000,54952.6737200,2005
Islas del Canal                                                       ,CHI ,0.0000000,58197.4493800,2005
Islas Caimán                                                          ,CYM ,0.0000000,,2005
Chile                                                                 ,CHL ,101594.2810000,7598.5251210,2005
China                                                                 ,CHN ,7803535.6000000,1753.4178290,2005
Côte d'Ivoire                                                         ,CIV ,26282.7360000,930.8298181,2005
Camerún                                                               ,CMR ,160728.0000000,1011.8800730,2005
"Congo, República Democrática del                                      ",COD ,794528.2200000,218.3861908,2005
"Congo, República del                                                  ",COG ,38914.4740000,1680.2045880,2005
Colombia                                                              ,COL ,150617.7980000,3414.4658330,2005
Comoras                                                               ,COM ,480.8432700,1068.6003210,2005
Cabo Verde                                                            ,CPV ,362.7568300,2099.1574840,2005
Costa Rica                                                            ,CRI ,10095.2385000,4654.8248220,2005
Estados pequeos del Caribe                                            ,CSS ,72532.6352500,7253.5373440,2005
Cuba                                                                  ,CUB ,45763.4510000,3786.6647950,2005
Chipre                                                                ,CYP ,8911.6747000,24959.2591700,2005
República Checa                                                       ,CZE ,147551.4360000,13346.1763900,2005
Alemania                                                              ,DEU ,981287.6843000,34507.3688100,2005
Djibouti                                                              ,DJI ,2160.0372400,904.7297489,2005
Dominica                                                              ,DMA ,174.6033430,5160.2243140,2005
Dinamarca                                                             ,DNK ,64816.6854700,48799.8256000,2005
República Dominicana                                                  ,DOM ,29247.7907000,3970.3228400,2005
Argelia                                                               ,DZA ,146241.4990000,3113.1010940,2005
Asia oriental y el Pacífico (excluido altos ingresos)                 ,EAP ,10493892.4900000,1640.9600560,2005
inicial del dividendo demográfico                                     ,EAR ,9042440.7690000,1780.2717250,2005
Asia oriental y el Pacífico                                           ,EAS ,13882177.4900000,4848.2345380,2005
Europa y Asia central (excluido altos ingresos)                       ,ECA ,4150076.5040000,4269.8850410,2005
Europa y Asia central                                                 ,ECS ,9393741.3580000,19222.3740000,2005
Ecuador                                                               ,ECU ,47049.3340000,3002.1368670,2005
"Egipto, República Árabe de                                            ",EGY ,243789.5327000,1187.5196900,2005
Zona del Euro                                                         ,EMU ,3512554.3170000,31936.0453700,2005
Eritrea                                                               ,ERI ,4476.2926000,388.5951226,2005
España                                                                ,ESP ,437016.7410000,26419.2968600,2005
Estonia                                                               ,EST ,20053.5829000,10406.3968800,2005
Etiopía                                                               ,ETH ,200010.1810000,162.4327265,2005
Unión Europea                                                         ,EUU ,4524824.9630000,27330.9936500,2005
Frágiles y situaciones de conflicto afectados                         ,FCS ,3964437.6810000,1126.8638220,2005
Finlandia                                                             ,FIN ,76199.7899000,39040.2888800,2005
Fiji                                                                  ,FJI ,1836.0699000,3659.5793290,2005
