countryname,countrycode,co2,gdp,anio
Afganistán                                                            ,AFG ,11370.4531000,,1992
Angola                                                                ,AGO ,64997.8398600,656.3617560,1992
Albania                                                               ,ALB ,6227.1532000,200.8522198,1992
Andorra                                                               ,AND ,0.0000000,20547.7117900,1992
El mundo árabe                                                        ,ARB ,842557.5094000,2028.1917430,1992
Emiratos Árabes Unidos                                                ,ARE ,78759.6991700,26420.8727500,1992
Argentina                                                             ,ARG ,272139.1851000,6823.5376160,1992
Armenia                                                               ,ARM ,14512.5941000,369.6326166,1992
Samoa Americana                                                       ,ASM ,21.5104445,,1992
Antigua y Barbuda                                                     ,ATG ,371.5196050,7744.2749170,1992
Australia                                                             ,AUS ,486991.9820000,18569.8127500,1992
Austria                                                               ,AUT ,79225.2770000,24880.1640700,1992
Curacao                                                               ,CUW ,0.0000000,,1992
Azerbaiyán                                                            ,AZE ,0.0000000,676.1515115,1992
Burundi                                                               ,BDI ,2922.8265000,190.4890140,1992
Bélgica                                                               ,BEL ,141130.1790000,23372.6191300,1992
Benin                                                                 ,BEN ,44052.7710000,317.9628553,1992
Burkina Faso                                                          ,BFA ,12607.8620000,240.9634810,1992
Bangladesh                                                            ,BGD ,128626.2440000,293.6449985,1992
Bulgaria                                                              ,BGR ,80517.3170000,1211.9808780,1992
Bahrein                                                               ,BHR ,15182.0377900,9082.7585330,1992
Bahamas                                                               ,BHS ,3078.1487300,11686.6958100,1992
Bosnia y Herzegovina                                                  ,BIH ,21575.3998000,,1992
Belarús                                                               ,BLR ,170164.1420000,1667.6817770,1992
Belice                                                                ,BLZ ,632.6853300,2666.8816000,1992
Bermudas                                                              ,BMU ,465.6801330,28669.6822600,1992
Bolivia                                                               ,BOL ,194819.3130000,788.1519898,1992
Brasil                                                                ,BRA ,1649183.8040000,2596.9198760,1992
Barbados                                                              ,BRB ,1236.7720000,7444.2914420,1992
Brunei Darussalam                                                     ,BRN ,23079.6397000,15274.4446300,1992
Bhután                                                                ,BTN ,1594.9777300,469.1989755,1992
Botswana                                                              ,BWA ,15494.4160000,3040.9604040,1992
República Centroafricana                                              ,CAF ,130433.5077000,477.1223243,1992
Canadá                                                                ,CAN ,618673.6200000,20879.8483300,1992
Europa Central y del Báltico                                          ,CEB ,1174876.5520000,2355.4567250,1992
Suiza                                                                 ,CHE ,57505.9329000,39534.5420000,1992
Islas del Canal                                                       ,CHI ,0.0000000,,1992
Islas Caimán                                                          ,CYM ,0.0000000,,1992
Chile                                                                 ,CHL ,55414.7620000,3350.2138450,1992
China                                                                 ,CHN ,4172493.2950000,366.4606923,1992
Côte d'Ivoire                                                         ,CIV ,142539.4910000,870.4811773,1992
Camerún                                                               ,CMR ,91207.0850000,911.7414218,1992
"Congo, República Democrática del                                      ",COD ,1824184.3800000,220.3718557,1992
