countryname,countrycode,co2,gdp,anio
Afganistán                                                            ,AFG ,12505.9308000,,1996
Angola                                                                ,AGO ,47136.2157900,522.6438073,1996
Albania                                                               ,ALB ,6187.3841000,1009.9776680,1996
Andorra                                                               ,AND ,0.0000000,19017.1745900,1996
El mundo árabe                                                        ,ARB ,1258068.5690000,2236.3286850,1996
Emiratos Árabes Unidos                                                ,ARE ,103034.6521000,28975.0229000,1996
Argentina                                                             ,ARG ,288246.2679000,7721.3545430,1996
Armenia                                                               ,ARM ,5992.2350000,504.0585594,1996
Samoa Americana                                                       ,ASM ,23.2630780,,1996
Antigua y Barbuda                                                     ,ATG ,390.0096740,9030.9752990,1996
Australia                                                             ,AUS ,508882.8260000,21861.3255100,1996
Austria                                                               ,AUT ,85648.2720000,29809.0767700,1996
Curacao                                                               ,CUW ,0.0000000,,1996
Azerbaiyán                                                            ,AZE ,38971.0609000,409.2107552,1996
Burundi                                                               ,BDI ,3046.7436000,143.4023001,1996
Bélgica                                                               ,BEL ,153314.4510000,27489.5551800,1996
Benin                                                                 ,BEN ,45079.9600000,387.4329246,1996
Burkina Faso                                                          ,BFA ,14494.9590000,249.3602944,1996
Bangladesh                                                            ,BGD ,139004.8940000,394.7174751,1996
Bulgaria                                                              ,BGR ,82852.6710000,1470.1037030,1996
Bahrein                                                               ,BHR ,15986.5183500,10544.7035700,1996
Bahamas                                                               ,BHS ,3856.6463800,12708.7309600,1996
Bosnia y Herzegovina                                                  ,BIH ,7102.6890000,740.0985068,1996
Belarús                                                               ,BLR ,130526.9900000,1452.4454880,1996
Belice                                                                ,BLZ ,573.9631200,3001.8337200,1996
Bermudas                                                              ,BMU ,504.0965080,44826.7890700,1996
Bolivia                                                               ,BOL ,176121.3010000,950.8565084,1996
Brasil                                                                ,BRA ,1613760.4370000,5166.1637450,1996
Barbados                                                              ,BRB ,1083.6421900,8850.9801700,1996
Brunei Darussalam                                                     ,BRN ,18153.2029000,16793.2809700,1996
Bhután                                                                ,BTN ,1663.9333900,584.3791581,1996
Botswana                                                              ,BWA ,10207.0630000,3221.6762100,1996
República Centroafricana                                              ,CAF ,129536.6727000,304.6312597,1996
Canadá                                                                ,CAN ,698763.3800000,21227.3475300,1996
Europa Central y del Báltico                                          ,CEB ,1116594.6130000,3786.3073000,1996
Suiza                                                                 ,CHE ,54921.8398000,46676.8509400,1996
Islas del Canal                                                       ,CHI ,0.0000000,,1996
Islas Caimán                                                          ,CYM ,0.0000000,,1996
Chile                                                                 ,CHL ,73626.8920000,5349.8041270,1996
China                                                                 ,CHN ,5181880.5140000,709.4137551,1996
Côte d'Ivoire                                                         ,CIV ,145020.6250000,827.7620057,1996
Camerún                                                               ,CMR ,89198.5380000,752.5250994,1996
"Congo, República Democrática del                                      ",COD ,1050676.5800000,134.9819243,1996
"Congo, República del                                                  ",COG ,51566.3880000,912.0139881,1996
Colombia                                                              ,COL ,183442.7770000,2620.5387620,1996
