countryname,countrycode,co2,gdp,anio
Afganistán                                                            ,AFG ,12585.4020000,,2001
Angola                                                                ,AGO ,34371.8411000,527.3335285,2001
Albania                                                               ,ALB ,6820.6244000,1281.6593930,2001
Andorra                                                               ,AND ,0.0000000,22971.5355400,2001
El mundo árabe                                                        ,ARB ,1787026.0420000,2510.2619470,2001
Emiratos Árabes Unidos                                                ,ARE ,115018.8197000,31280.7842800,2001
Argentina                                                             ,ARG ,326483.8100000,7208.3715670,2001
Armenia                                                               ,ARM ,6896.4518000,694.4232277,2001
Samoa Americana                                                       ,ASM ,50.8832030,,2001
Antigua y Barbuda                                                     ,ATG ,399.2651890,10370.6711300,2001
Australia                                                             ,AUS ,1241515.9900000,19490.8611100,2001
Austria                                                               ,AUT ,85851.6117300,24537.5142600,2001
Curacao                                                               ,CUW ,0.0000000,,2001
Azerbaiyán                                                            ,AZE ,41456.1124000,703.6838434,2001
Burundi                                                               ,BDI ,3390.8413000,134.3634475,2001
Bélgica                                                               ,BEL ,144534.9980000,22995.1575200,2001
Benin                                                                 ,BEN ,33015.4100000,517.6142296,2001
Burkina Faso                                                          ,BFA ,41227.9640000,266.8641557,2001
Bangladesh                                                            ,BGD ,142753.5280000,415.0344266,2001
Bulgaria                                                              ,BGR ,68733.6830000,1770.9135340,2001
Bahrein                                                               ,BHR ,19051.2816000,12868.2691600,2001
Bahamas                                                               ,BHS ,3151.8690500,27486.2367700,2001
Bosnia y Herzegovina                                                  ,BIH ,18080.8809000,1530.8148160,2001
Belarús                                                               ,BLR ,80803.9023000,1244.3731850,2001
Belice                                                                ,BLZ ,1013.4839600,3404.4530170,2001
Bermudas                                                              ,BMU ,510.1113830,58883.9594300,2001
Bolivia                                                               ,BOL ,62224.1100000,948.8712066,2001
Brasil                                                                ,BRA ,1277451.8800000,3156.7987180,2001
Barbados                                                              ,BRB ,1225.1162900,11209.1743100,2001
Brunei Darussalam                                                     ,BRN ,9865.1434000,16472.1486200,2001
Bhután                                                                ,BTN ,1613.4734600,764.4366074,2001
Botswana                                                              ,BWA ,54348.9300000,3278.0082500,2001
República Centroafricana                                              ,CAF ,453849.6290000,250.3570114,2001
Canadá                                                                ,CAN ,718534.4600000,23738.1807200,2001
