countryname,countrycode,co2,gdp,anio
Afganistán                                                            ,AFG ,15691.2660000,272.6552857,1980
Angola                                                                ,AGO ,48001.8661600,710.9816481,1980
Albania                                                               ,ALB ,11433.5842000,,1980
Andorra                                                               ,AND ,0.0000000,12377.4116500,1980
El mundo árabe                                                        ,ARB ,927714.2369000,2052.9615360,1980
Emiratos Árabes Unidos                                                ,ARE ,60172.9218000,42764.4566600,1980
Argentina                                                             ,ARG ,253870.9900000,2758.8352120,1980
Armenia                                                               ,ARM ,14508.3336000,,1980
Samoa Americana                                                       ,ASM ,15.4709087,,1980
Antigua y Barbuda                                                     ,ATG ,313.0333920,2124.4811550,1980
Australia                                                             ,AUS ,433837.4380000,10194.3187000,1980
Austria                                                               ,AUT ,78845.2910000,10869.5464200,1980
Curacao                                                               ,CUW ,0.0000000,,1980
Azerbaiyán                                                            ,AZE ,51110.8965000,,1980
Burundi                                                               ,BDI ,2390.7396000,221.2318354,1980
Bélgica                                                               ,BEL ,165433.8330000,12864.0025400,1980
Benin                                                                 ,BEN ,43188.4340000,378.0438983,1980
Burkina Faso                                                          ,BFA ,8673.0793000,282.6857353,1980
Bangladesh                                                            ,BGD ,115248.3810000,227.7519465,1980
Bulgaria                                                              ,BGR ,119752.3210000,2238.8029580,1980
Bahrein                                                               ,BHR ,10456.5540300,8537.9293790,1980
Bahamas                                                               ,BHS ,0.0000000,6340.7268120,1980
Bosnia y Herzegovina                                                  ,BIH ,25995.1088000,,1980
Belarús                                                               ,BLR ,188456.1630000,,1980
Belice                                                                ,BLZ ,440.9195700,1373.0930070,1980
Bermudas                                                              ,BMU ,470.5364220,11218.2178200,1980
Bolivia                                                               ,BOL ,186438.2820000,811.2848631,1980
Brasil                                                                ,BRA ,1499555.5160000,1947.2764300,1980
Barbados                                                              ,BRB ,867.6132600,4010.7158430,1980
Brunei Darussalam                                                     ,BRN ,17658.7240000,25422.1703100,1980
Bhután                                                                ,BTN ,1035.4491800,333.4028760,1980
Botswana                                                              ,BWA ,11120.3480000,1181.6033420,1980
República Centroafricana                                              ,CAF ,134472.3600000,362.4006431,1980
Canadá                                                                ,CAN ,711937.5100000,11170.5639700,1980
Europa Central y del Báltico                                          ,CEB ,1716304.2930000,,1980
Suiza                                                                 ,CHE ,53170.9162000,18832.1967200,1980
Islas del Canal                                                       ,CHI ,0.0000000,,1980
Islas Caimán                                                          ,CYM ,0.0000000,,1980
Chile                                                                 ,CHL ,43958.7540000,2542.7642520,1980
China                                                                 ,CHN ,2757430.0900000,194.8047222,1980
Côte d'Ivoire                                                         ,CIV ,140755.4500000,1266.6241920,1980
Camerún                                                               ,CMR ,81570.6370000,781.8627923,1980
"Congo, República Democrática del                                      ",COD ,1234690.6400000,546.1124374,1980
"Congo, República del                                                  ",COG ,56481.6660000,959.4264183,1980
Colombia                                                              ,COL ,154044.3280000,1241.6396790,1980
Comoras                                                               ,COM ,252.8468600,689.4029686,1980
Cabo Verde                                                            ,CPV ,311.9246990,501.1392600,1980
Costa Rica                                                            ,CRI ,7667.4913000,2021.5453960,1980
Estados pequeos del Caribe                                            ,CSS ,28783.1870300,2461.6491400,1980
Cuba                                                                  ,CUB ,56022.7840000,2021.7242250,1980
Chipre                                                                ,CYP ,3785.8735200,4232.0229390,1980
República Checa                                                       ,CZE ,219692.1710000,,1980
Alemania                                                              ,DEU ,1354782.9800000,12138.3081000,1980
Djibouti                                                              ,DJI ,1772.1263400,,1980
Dominica                                                              ,DMA ,69.4820830,966.6815377,1980
Dinamarca                                                             ,DNK ,85588.3850000,13883.8871400,1980
República Dominicana                                                  ,DOM ,14322.2125000,1164.9526260,1980
Argelia                                                               ,DZA ,83331.1950000,2202.9973650,1980
Asia oriental y el Pacífico (excluido altos ingresos)                 ,EAP ,4985740.2080000,275.4770911,1980
inicial del dividendo demográfico                                     ,EAR ,5512991.7250000,815.8646970,1980
Asia oriental y el Pacífico                                           ,EAS ,6918673.7460000,1162.7678160,1980
Europa y Asia central (excluido altos ingresos)                       ,ECA ,4737189.6430000,,1980
Europa y Asia central                                                 ,ECS ,10961774.7800000,5794.5716150,1980
Ecuador                                                               ,ECU ,23548.4270000,2238.2148420,1980
"Egipto, República Árabe de                                            ",EGY ,84807.9310000,500.3550452,1980
Zona del Euro                                                         ,EMU ,3862983.5590000,9806.3209730,1980
Eritrea                                                               ,ERI ,2974.4804000,,1980
España                                                                ,ESP ,269540.1860000,6208.5780190,1980
Estonia                                                               ,EST ,70666.1103000,,1980
Etiopía                                                               ,ETH ,58090.7230000,,1980
Unión Europea                                                         ,EUU ,5406309.4380000,8100.7487590,1980
Frágiles y situaciones de conflicto afectados                         ,FCS ,3122067.5690000,577.4433201,1980
Finlandia                                                             ,FIN ,76384.8218900,11223.9375600,1980
Fiji                                                                  ,FJI ,2072.8437500,1892.8917190,1980
Francia                                                               ,FRA ,675156.8500000,12713.3612500,1980
Islas Feroe                                                           ,FRO ,0.0000000,,1980
Micronesia (Estados Federados de)                                     ,FSM ,27.9518770,,1980
Gabón                                                                 ,GAB ,11250.5051000,5892.1560700,1980
Reino Unido                                                           ,GBR ,806582.5300000,10032.0620800,1980
Georgia                                                               ,GEO ,51361.6450000,,1980
Ghana                                                                 ,GHA ,26282.7240000,402.0605623,1980
Gibraltar                                                             ,GIB ,101.3374100,,1980
Guinea                                                                ,GIN ,59798.2440000,,1980
Gambia                                                                ,GMB ,1043.1914300,378.3165510,1980
Guinea-Bissau                                                         ,GNB ,1278.3216000,141.5595325,1980
Guinea Ecuatorial                                                     ,GNQ ,158.3128300,202.6290698,1980
Grecia                                                                ,GRC ,70435.3453000,5893.6618100,1980
Granada                                                               ,GRD ,73.7252310,1245.6246860,1980
Groenlandia                                                           ,GRL ,0.0000000,9483.1730760,1980
Guatemala                                                             ,GTM ,13835.0275000,1143.4404020,1980
Guam                                                                  ,GUM ,51.1198351,,1980
Guyana                                                                ,GUY ,15663.8534000,773.1816708,1980
Ingreso alto                                                          ,HIC ,15298857.0400000,9349.1723460,1980
"Hong Kong, Región Administrativa Especial                             ",HKG ,17290.4665800,5700.4126340,1980
Honduras                                                              ,HND ,10979.4570000,1078.8088790,1980
Países pobres muy endeudados (PPME)                                   ,HPC ,2671485.7780000,401.9866250,1980
Croacia                                                               ,HRV ,27177.9130000,,1980
Haití                                                                 ,HTI ,5565.3206000,245.2166538,1980
Hungría                                                               ,HUN ,120487.6270000,,1980
Maldivas                                                              ,MDV ,0.0000000,268.2949363,1980
Sólo BIRF                                                             ,IBD ,14326962.7000000,763.8525556,1980
BIRF y la AIF                                                         ,IBT ,18275901.0800000,704.7358636,1980
total de la AIF                                                       ,IDA ,3948938.3800000,440.8870195,1980
mezcla de la AIF                                                      ,IDB ,561854.1818000,610.5943723,1980
Indonesia                                                             ,IDN ,714214.4800000,491.5795263,1980
Sólo AIF                                                              ,IDX ,3387084.1980000,358.3643879,1980
Isla de Man                                                           ,IMN ,0.0000000,,1980
India                                                                 ,IND ,929414.7700000,266.5778481,1980
No clasificado                                                        ,INX ,0.0000000,,1980
Irlanda                                                               ,IRL ,58358.9350000,6380.0694790,1980
"Irán, República Islámica del                                          ",IRN ,167342.0070000,2441.4404910,1980
Iraq                                                                  ,IRQ ,91587.9700000,3911.5435760,1980
Islandia                                                              ,ISL ,12924.0069000,14844.0940000,1980
Israel                                                                ,ISR ,23572.1280000,6231.1783920,1980
Italia                                                                ,ITA ,477727.3290000,8456.9189820,1980
Jamaica                                                               ,JAM ,0.0000000,1238.8350600,1980
Jordania                                                              ,JOR ,5534.8282400,1644.2578410,1980
Japón                                                                 ,JPN ,1136091.3400000,9465.3797140,1980
Kazajstán                                                             ,KAZ ,219643.0920000,,1980
Kenya                                                                 ,KEN ,28468.6930000,442.5429829,1980
Kirguistán                                                            ,KGZ ,18904.7286200,,1980
Camboya                                                               ,KHM ,14639.7772000,,1980
Kiribati                                                              ,KIR ,30.0258228,652.8651210,1980
Saint Kitts y Nevis                                                   ,KNA ,77.9505350,1584.5206360,1980
"Corea, República de                                                   ",KOR ,175229.7710000,1715.4294600,1980
Kuwait                                                                ,KWT ,47113.6283000,20924.2578800,1980
América Latina y el Caribe (excluido altos ingresos)                  ,LAC ,2953783.3690000,2095.9498180,1980
República Democrática Popular Lao                                     ,LAO ,27499.0590000,,1980
Líbano                                                                ,LBN ,8508.7553000,,1980
Liberia                                                               ,LBR ,2826.8584200,,1980
Libia                                                                 ,LBY ,53559.8016000,,1980
Santa Lucía                                                           ,LCA ,167.9281450,1445.9979490,1980
América Latina y el Caribe                                            ,LCN ,3040379.4840000,2167.0389470,1980
Países menos desarrollados: clasificación de las Naciones Unidas      ,LDC ,3180581.9480000,297.7199191,1980
Países de ingreso bajo                                                ,LIC ,2005099.5810000,376.5367957,1980
Liechtenstein                                                         ,LIE ,0.0000000,20661.6142700,1980
Sri Lanka                                                             ,LKA ,18564.3671000,267.6686840,1980
Mauritania                                                            ,MRT ,4807.6244000,680.1878759,1980
Países de ingreso mediano bajo                                        ,LMC ,4420293.8330000,419.7712931,1980
Ingreso mediano y bajo                                                ,LMY ,17495238.6600000,681.9257829,1980
Lesotho                                                               ,LSO ,1809.3254000,321.9994527,1980
avanzada del dividendo demográfico                                    ,LTE ,9924356.8380000,809.4723148,1980
Lituania                                                              ,LTU ,131995.8840000,,1980
Luxemburgo                                                            ,LUX ,14437.3203000,17113.8422500,1980
Letonia                                                               ,LVA ,61084.5210000,,1980
"Región Administrativa Especial de Macao, China                        ",MAC ,553.3978940,,1980
Isla de San Martín (parte francesa)                                   ,MAF ,0.0000000,,1980
Marruecos                                                             ,MAR ,29395.2950000,1078.8386780,1980
Mónaco                                                                ,MCO ,0.0000000,51528.5472300,1980
República de Moldova                                                  ,MDA ,39456.1147000,,1980
Madagascar                                                            ,MDG ,43738.6940000,596.7747054,1980
Oriente Medio y Norte de África                                       ,MEA ,1016408.6330000,2174.1355480,1980
México                                                                ,MEX ,387137.4100000,3027.3750500,1980
Islas Marshall                                                        ,MHL ,3.1434641,,1980
 Ingreso mediano                                                      ,MIC ,15490139.0700000,706.3552803,1980
Macedonia del Norte                                                   ,MKD ,10926.7948000,,1980
Malí                                                                  ,MLI ,29426.0210000,248.1889337,1980
Malta                                                                 ,MLT ,1208.6182400,3948.4031260,1980
Myanmar                                                               ,MMR ,788821.8700000,,1980
Oriente Medio y Norte de África (excluido altos ingresos)             ,MNA ,571372.0624000,,1980
Montenegro                                                            ,MNE ,0.0000000,,1980
Mongolia                                                              ,MNG ,37598.3490000,,1980
Mariana                                                               ,MNP ,3.4015384,,1980
Mozambique                                                            ,MOZ ,37019.6960000,,1980
Mauricio                                                              ,MUS ,980.1847400,1171.5760870,1980
Malawi                                                                ,MWI ,6611.1971000,198.0109338,1980
Malasia                                                               ,MYS ,150780.9418000,1774.7414540,1980
América del Norte                                                     ,NAC ,6608490.8460000,12437.7765000,1980
Namibia                                                               ,NAM ,7327.4030000,2289.9066340,1980
Nueva Caledonia                                                       ,NCL ,2368.4165100,8443.1070520,1980
Níger                                                                 ,NER ,8200.6399000,418.8549860,1980
Nigeria                                                               ,NGA ,155988.6210000,874.4022258,1980
Nicaragua                                                             ,NIC ,9010.6365000,670.4439226,1980
Países Bajos                                                          ,NLD ,219031.3630000,13791.8622600,1980
Noruega                                                               ,NOR ,66457.8500000,15772.2409100,1980
Nepal                                                                 ,NPL ,23311.7205000,129.5860742,1980
Nauru                                                                 ,NRU ,0.0000000,,1980
