countryname,countrycode,co2,gdp,anio
Afganistán                                                            ,AFG ,12959.2948000,,1987
Angola                                                                ,AGO ,35736.7658000,756.2618530,1987
Albania                                                               ,ALB ,12603.8867000,674.7933831,1987
Andorra                                                               ,AND ,0.0000000,12616.1675700,1987
El mundo árabe                                                        ,ARB ,803738.8551000,1543.5169230,1987
Emiratos Árabes Unidos                                                ,ARE ,64750.9019000,23726.1523300,1987
Argentina                                                             ,ARG ,266245.2200000,3562.8756020,1987
Armenia                                                               ,ARM ,17613.5979000,,1987
Samoa Americana                                                       ,ASM ,20.0081174,,1987
Antigua y Barbuda                                                     ,ATG ,387.7783970,5463.2412760,1987
Australia                                                             ,AUS ,434706.1640000,11624.5395900,1987
Austria                                                               ,AUT ,75021.9800000,16392.7695700,1987
Curacao                                                               ,CUW ,0.0000000,,1987
Azerbaiyán                                                            ,AZE ,65201.0556000,,1987
Burundi                                                               ,BDI ,2648.2604000,225.0716996,1987
Bélgica                                                               ,BEL ,137543.0140000,15135.8522700,1987
Benin                                                                 ,BEN ,35110.8449000,344.5030708,1987
Burkina Faso                                                          ,BFA ,10688.8000000,291.1319639,1987
Bangladesh                                                            ,BGD ,122476.9310000,253.9744631,1987
Bulgaria                                                              ,BGR ,122089.1210000,3132.3013600,1987
Bahrein                                                               ,BHR ,16271.9031900,7555.1004640,1987
Bahamas                                                               ,BHS ,3342.2367700,11156.2820900,1987
Bosnia y Herzegovina                                                  ,BIH ,29031.1200000,,1987
Belarús                                                               ,BLR ,186056.8330000,,1987
Belice                                                                ,BLZ ,475.7350400,1612.4515750,1987
Bermudas                                                              ,BMU ,792.2227220,22411.7956700,1987
Bolivia                                                               ,BOL ,165829.9040000,671.0751255,1987
Brasil                                                                ,BRA ,1454114.8310000,2087.3076050,1987
Barbados                                                              ,BRB ,1194.8040800,6605.6000050,1987
Brunei Darussalam                                                     ,BRN ,16488.2324000,11594.6651500,1987
Bhután                                                                ,BTN ,1188.1706100,512.1915990,1987
Botswana                                                              ,BWA ,8752.6552000,1701.6751860,1987
República Centroafricana                                              ,CAF ,95503.7130000,453.7455328,1987
Canadá                                                                ,CAN ,623176.9600000,16308.9669700,1987
Europa Central y del Báltico                                          ,CEB ,1744121.7870000,,1987
Suiza                                                                 ,CHE ,54226.7025000,29558.8954800,1987
Islas del Canal                                                       ,CHI ,0.0000000,,1987
Islas Caimán                                                          ,CYM ,300.3603950,,1987
Chile                                                                 ,CHL ,45207.9170000,1760.3054230,1987
China                                                                 ,CHN ,3680670.8470000,251.8119570,1987
Côte d'Ivoire                                                         ,CIV ,114145.5300000,942.9304787,1987
Camerún                                                               ,CMR ,70500.7790000,1146.4353800,1987
"Congo, República Democrática del                                      ",COD ,880361.5600000,243.0047394,1987
"Congo, República del                                                  ",COG ,43092.3561000,1058.2284470,1987
Colombia                                                              ,COL ,160351.6090000,1165.9825460,1987
Comoras                                                               ,COM ,272.1273300,896.1165171,1987
Cabo Verde                                                            ,CPV ,197.0051800,732.5678355,1987
Costa Rica                                                            ,CRI ,8134.2080000,1571.2950330,1987
Estados pequeos del Caribe                                            ,CSS ,37694.2131000,2633.1134240,1987
Cuba                                                                  ,CUB ,63306.0720000,2451.1334760,1987
Chipre                                                                ,CYP ,4828.4064700,6690.5779750,1987
República Checa                                                       ,CZE ,215838.8870000,,1987
Alemania                                                              ,DEU ,1294253.9200000,16677.5107900,1987
Djibouti                                                              ,DJI ,1233.9422700,761.4703124,1987
Dominica                                                              ,DMA ,121.0158310,2113.9271520,1987
Dinamarca                                                             ,DNK ,76420.9280000,21340.7278600,1987
República Dominicana                                                  ,DOM ,17140.9963000,865.8313685,1987
Argelia                                                               ,DZA ,107912.7160000,2807.3302970,1987
Asia oriental y el Pacífico (excluido altos ingresos)                 ,EAP ,6098285.7830000,337.9830978,1987
inicial del dividendo demográfico                                     ,EAR ,5809597.6480000,756.4154324,1987
Asia oriental y el Pacífico                                           ,EAS ,8221050.8960000,2080.6954240,1987
Europa y Asia central (excluido altos ingresos)                       ,ECA ,5268681.0630000,,1987
Europa y Asia central                                                 ,ECS ,11290181.1400000,7752.6645250,1987
Ecuador                                                               ,ECU ,29861.9180000,1464.4932440,1987
"Egipto, República Árabe de                                            ",EGY ,129322.6410000,778.1168274,1987
Zona del Euro                                                         ,EMU ,3702785.5320000,13532.2957800,1987
Eritrea                                                               ,ERI ,3131.5131000,,1987
España                                                                ,ESP ,268265.7050000,8239.6138160,1987
Estonia                                                               ,EST ,69888.7960000,,1987
Etiopía                                                               ,ETH ,57246.2450000,242.9615852,1987
Unión Europea                                                         ,EUU ,5217133.6750000,11127.8331100,1987
Frágiles y situaciones de conflicto afectados                         ,FCS ,2687424.4330000,473.4472797,1987
Finlandia                                                             ,FIN ,72039.8085200,18571.0599300,1987
Fiji                                                                  ,FJI ,1985.6214000,1631.9422760,1987
Francia                                                               ,FRA ,533912.0400000,16302.4414000,1987
Islas Feroe                                                           ,FRO ,0.0000000,,1987
Micronesia (Estados Federados de)                                     ,FSM ,43.9398840,1296.9692930,1987
Gabón                                                                 ,GAB ,9294.4691700,3755.4880080,1987
Reino Unido                                                           ,GBR ,787867.0300000,13118.5865300,1987
Georgia                                                               ,GEO ,47706.7390000,,1987
Ghana                                                                 ,GHA ,23003.6310000,374.4703415,1987
Gibraltar                                                             ,GIB ,155.5760610,,1987
Guinea                                                                ,GIN ,48399.6990000,351.9088665,1987
Gambia                                                                ,GMB ,1099.0190700,265.4878195,1987
Guinea-Bissau                                                         ,GNB ,1322.1188000,190.4525886,1987
Guinea Ecuatorial                                                     ,GNQ ,205.7160170,243.7349313,1987
Grecia                                                                ,GRC ,90115.8016000,6564.8845030,1987
Granada                                                               ,GRD ,112.4465690,2162.2910180,1987
Groenlandia                                                           ,GRL ,0.0000000,14554.3875400,1987
Guatemala                                                             ,GTM ,15033.4155000,850.2185121,1987
Guam                                                                  ,GUM ,61.3722072,,1987
Guyana                                                                ,GUY ,15605.2843000,468.1401851,1987
Ingreso alto                                                          ,HIC ,15276069.6600000,14237.8677500,1987
"Hong Kong, Región Administrativa Especial                             ",HKG ,34969.3259000,9071.3326020,1987
Honduras                                                              ,HND ,14503.3450000,1362.8863020,1987
Países pobres muy endeudados (PPME)                                   ,HPC ,2087448.5330000,424.0563910,1987
Croacia                                                               ,HRV ,43184.9920000,,1987
Haití                                                                 ,HTI ,5440.2986000,309.3033965,1987
Hungría                                                               ,HUN ,108640.7260000,,1987
Maldivas                                                              ,MDV ,120.7609570,695.8103339,1987
Sólo BIRF                                                             ,IBD ,16200040.2800000,816.8073489,1987
BIRF y la AIF                                                         ,IBT ,19672251.7700000,739.2150858,1987
total de la AIF                                                       ,IDA ,3472211.4890000,415.4505914,1987
mezcla de la AIF                                                      ,IDB ,611538.0470000,521.7166619,1987
Indonesia                                                             ,IDN ,813977.9100000,442.2154673,1987
Sólo AIF                                                              ,IDX ,2860673.4420000,361.5170179,1987
Isla de Man                                                           ,IMN ,0.0000000,,1987
India                                                                 ,IND ,1305250.6300000,340.4168316,1987
No clasificado                                                        ,INX ,0.0000000,,1987
Irlanda                                                               ,IRL ,61748.2230000,9593.3882950,1987
"Irán, República Islámica del                                          ",IRN ,223541.2780000,2617.7006400,1987
Iraq                                                                  ,IRQ ,99336.4170000,3482.1675980,1987
Islandia                                                              ,ISL ,19956.8502000,22486.9384100,1987
Israel                                                                ,ISR ,36863.0489000,9375.8929520,1987
Italia                                                                ,ITA ,497868.0000000,14234.7286500,1987
Jamaica                                                               ,JAM ,6832.8877000,1383.7657820,1987
Jordania                                                              ,JOR ,10626.6256000,2157.1006270,1987
Japón                                                                 ,JPN ,1186749.6000000,20745.2520900,1987
Kazajstán                                                             ,KAZ ,240415.3110000,,1987
Kenya                                                                 ,KEN ,36807.3100000,372.7798512,1987
Kirguistán                                                            ,KGZ ,16896.3839000,,1987
Camboya                                                               ,KHM ,18352.6380000,,1987
Kiribati                                                              ,KIR ,40.6698310,499.7730531,1987
Saint Kitts y Nevis                                                   ,KNA ,109.4645820,3600.0285890,1987
"Corea, República de                                                   ",KOR ,258382.6650000,3554.5952060,1987
Kuwait                                                                ,KWT ,58923.3979000,11535.2161900,1987
América Latina y el Caribe (excluido altos ingresos)                  ,LAC ,3016776.7850000,1891.1925750,1987
República Democrática Popular Lao                                     ,LAO ,25749.3310000,278.3932280,1987
Líbano                                                                ,LBN ,0.0000000,,1987
Liberia                                                               ,LBR ,2464.3232900,,1987
Libia                                                                 ,LBY ,55358.7094000,,1987
Santa Lucía                                                           ,LCA ,286.7781980,2869.9911010,1987
América Latina y el Caribe                                            ,LCN ,3106319.8550000,1961.6613050,1987
Países menos desarrollados: clasificación de las Naciones Unidas      ,LDC ,2646972.8160000,315.7422507,1987
Países de ingreso bajo                                                ,LIC ,1618290.6020000,381.7493962,1987
Liechtenstein                                                         ,LIE ,0.0000000,37821.7246000,1987
Sri Lanka                                                             ,LKA ,18654.0486000,401.4771924,1987
Mauritania                                                            ,MRT ,5649.3560000,715.3376626,1987
Países de ingreso mediano bajo                                        ,LMC ,4861518.6190000,483.5326104,1987
Ingreso mediano y bajo                                                ,LMY ,18908077.6800000,720.3288565,1987
Lesotho                                                               ,LSO ,2056.7565000,252.3029106,1987
avanzada del dividendo demográfico                                    ,LTE ,11362205.8000000,923.0821129,1987
Lituania                                                              ,LTU ,147969.5450000,,1987
Luxemburgo                                                            ,LUX ,12003.8008000,23234.5665800,1987
Letonia                                                               ,LVA ,71797.6280000,,1987
"Región Administrativa Especial de Macao, China                        ",MAC ,0.0000000,6299.0686370,1987
Isla de San Martín (parte francesa)                                   ,MAF ,0.0000000,,1987
Marruecos                                                             ,MAR ,34517.8610000,920.5915673,1987
Mónaco                                                                ,MCO ,0.0000000,63051.8237500,1987
República de Moldova                                                  ,MDA ,55245.3209000,,1987
Madagascar                                                            ,MDG ,38387.5540000,301.7444393,1987
Oriente Medio y Norte de África                                       ,MEA ,967235.0410000,1774.9436400,1987
México                                                                ,MEX ,462185.1970000,1862.8862040,1987
