countryname,countrycode,co2,gdp,anio
Afganistán                                                            ,AFG ,14709.8840000,190.6838143,2003
Angola                                                                ,AGO ,35858.0150000,982.9608993,2003
Albania                                                               ,ALB ,7834.0157000,1846.1188130,2003
Andorra                                                               ,AND ,0.0000000,32271.9639000,2003
El mundo árabe                                                        ,ARB ,1963193.0150000,2736.4821190,2003
Emiratos Árabes Unidos                                                ,ARE ,134091.6856000,33499.0937500,2003
Argentina                                                             ,ARG ,344797.0600000,3349.8061240,2003
Armenia                                                               ,ARM ,6973.8810400,930.1273219,2003
Samoa Americana                                                       ,ASM ,51.8383390,8856.5474590,2003
Antigua y Barbuda                                                     ,ATG ,418.8379580,10789.9509600,2003
Australia                                                             ,AUS ,1023667.5800000,23447.0310000,2003
Austria                                                               ,AUT ,92659.8411000,32222.8972400,2003
Curacao                                                               ,CUW ,0.0000000,,2003
Azerbaiyán                                                            ,AZE ,44116.8124000,883.6439965,2003
Burundi                                                               ,BDI ,5258.7489000,113.5673664,2003
Bélgica                                                               ,BEL ,144031.5720000,30587.6684100,2003
Benin                                                                 ,BEN ,36885.5379000,709.6905332,2003
Burkina Faso                                                          ,BFA ,43713.2880000,373.7876294,2003
Bangladesh                                                            ,BGD ,146424.2510000,446.3106592,2003
Bulgaria                                                              ,BGR ,70024.0292000,2719.4976560,2003
Bahrein                                                               ,BHR ,20539.2887400,14222.0368000,2003
Bahamas                                                               ,BHS ,3556.0842800,28327.2708700,2003
Bosnia y Herzegovina                                                  ,BIH ,18645.7857000,2224.7458640,2003
Belarús                                                               ,BLR ,82041.1160000,1819.7660590,2003
Belice                                                                ,BLZ ,3604.3140700,3650.3665210,2003
Bermudas                                                              ,BMU ,543.0125950,66111.7252300,2003
Bolivia                                                               ,BOL ,124597.4950000,907.5371101,2003
Brasil                                                                ,BRA ,1624554.7000000,3070.9104910,2003
Barbados                                                              ,BRB ,0.0000000,11699.4557600,2003
Brunei Darussalam                                                     ,BRN ,10762.0383000,18560.6085700,2003
Bhután                                                                ,BTN ,1467.5729600,962.0969037,2003
Botswana                                                              ,BWA ,17482.9867000,4330.9449000,2003
República Centroafricana                                              ,CAF ,532900.0560000,293.6618517,2003
Canadá                                                                ,CAN ,951373.0400000,28200.6580800,2003
Europa Central y del Báltico                                          ,CEB ,988903.4721000,5936.2096100,2003
Suiza                                                                 ,CHE ,54552.7522000,48087.5831400,2003
Islas del Canal                                                       ,CHI ,0.0000000,48859.4830200,2003
Islas Caimán                                                          ,CYM ,0.0000000,,2003
Chile                                                                 ,CHL ,94236.3040000,4772.5628200,2003
China                                                                 ,CHN ,6226962.5000000,1288.6432520,2003
Côte d'Ivoire                                                         ,CIV ,22407.1450000,869.7125993,2003
Camerún                                                               ,CMR ,167009.8430000,865.9581375,2003
"Congo, República Democrática del                                      ",COD ,748084.2000000,173.7961353,2003
"Congo, República del                                                  ",COG ,34876.5860000,1026.1076740,2003
